n_eval;f_min
13;35043.61
54;8291.426
82;1651.5055
125;440.935
222;123.42669
263;24.183823
293;-1.2494111
323;-4.400735
338;-11.0476885
368;-11.328586
383;-14.068025
426;-14.909711
469;-16.523087
484;-17.195475
544;-17.581316
716;-17.769049
773;-17.80418
815;-17.84451
830;-17.878965
872;-17.882578
929;-17.882914
984;-17.883
1041;-17.883247
1096;-17.883354
1151;-17.883358
1206;-17.88336
1261;-17.883385
