n_eval;f_min
13;49.077858
39;39.92312
54;38.40642
69;35.02181
144;23.613075
174;21.752338
279;20.109375
324;17.914532
367;12.7881775
412;5.242032
440;1.1565809
993;1.1117935
1217;1.0920582
1274;1.0901699
1331;1.0244637
1386;1.0028496
1441;0.99693966
1975;0.15226841
2149;0.0010852814
3191;0.000059127808
3780;0.000049591064
3825;0.00000667572
3913;0.000005722046
4139;0.0000019073486
4253;0
