x0;x1;x2;x3;x4;x5;f(x0);f(x1);f(x2);f(x3);f(x4);f(x5);Step;XVal;x-plus;x-minus
-60;-39.137505;-23.182495;-17.364866;28.675316;60;12100;7945.4946;5355.6777;4538.0254;454.74216;100;1;58.169716;85.86326,60;30.161337,60
28.008379;45.675575;68.93165;101.47943;102.449814;144.03297;483.6314;18.70065;358.40732;2650.1318;2750.983;8842.2;2;32.91152;46.47626,60;40.62382,60
-7.712303;60.6867;63.410454;64.92919;68.64804;79.38778;3330.71;114.205536;179.84027;222.88077;347.74942;863.64154;3;79.21952;25.000015,60;33.30253,60
45.916992;48.037815;76.15053;82.9199;95.68515;104.219536;16.670952;3.8501697;683.8501;1083.7197;2087.133;2939.758;4;51.60651;12.683074,60;44.7736,60
6.8329086;11.318485;33.275276;41.14365;57.348434;64.28958;1863.3978;1496.2596;279.7164;78.43494;53.99949;204.19214;5;63.57497;18.846039,60;22.864445,60
40.710526;58.63209;67.948204;70.5079;75.42121;82.421005;86.294334;74.513;322.13803;420.57382;646.238;1051.1216;6;47.276104;9.443991,60;32.76304,60
14.513065;22.236164;28.815174;34.768967;37.112286;56.720093;1259.3225;770.83057;448.79684;231.98438;166.09319;45.159645;7;56.171585;13.982023,60;16.734747,60
39.436836;44.536995;55.16806;61.27275;61.445877;70.15361;111.58043;29.844425;26.708847;127.07491;131.0081;406.168;8;44.26443;7.31447,60;22.050169,60
22.214262;29.537518;36.11416;39.882065;51.285454;51.5789;772.04724;418.7132;192.81659;102.37261;1.6523914;2.4929233;9;51.471603;10.196977,60;11.3255005,60
40.146103;41.43552;45.195248;51.080082;55.745934;61.66858;97.09929;73.35031;23.085646;1.166577;33.01575;136.15573;10;45.85982;6.6946692,60;7.7742753,60
38.085545;40.602955;47.190063;48.663963;49.824326;52.55449;141.95425;88.30446;7.8957434;1.784994;0.030861508;6.525415;11;52.487255;9.410693,60;4.0655074,60
48.42175;56.091118;57.301464;58.50609;61.428272;61.89795;2.490876;37.101715;53.31138;72.35354;130.60541;141.5612;12;50.059082;4.708908,60;5.4007597,60
44.65832;47.311584;50.929558;51.265812;52.7209;54.76799;28.533531;7.227578;0.8640777;1.6022798;7.403305;22.73373;13;54.138657;2.6688962,60;4.018539,60
50.120117;50.23312;51.224663;51.27459;51.617214;56.807552;0.014428139;0.05434492;1.4997989;1.6245785;2.6153817;46.34277;14;50.196857;1.7275422,60;5.866698,60
44.33016;44.694008;50.852753;51.08515;51.347713;51.9244;32.147106;28.153553;0.72718716;1.1775541;1.8163316;3.7033167;15;51.897945;2.3271425,60;3.0383425,60
48.859604;49.73225;49.810257;50.77967;51.89617;54.225086;1.3005033;0.07168995;0.036002424;0.60788643;3.5954666;17.851353;16;49.019005;1.2585415,60;4.2978244,60
44.72118;44.854767;45.54519;49.028973;49.206017;50.277546;27.86594;26.473425;19.845343;0.94289416;0.6304097;0.07703174;17;50.243347;1.8731251,60;2.1523144,60
48.091034;49.67337;50.339783;50.404404;51.322243;52.11647;3.6441514;0.10668692;0.11545229;0.16354235;1.7483258;4.479447;18;51.239704;0.93887097,60;2.507668,60
48.732037;50.44584;50.939995;51.198963;51.796608;52.178574;1.6077312;0.19877236;0.8835902;1.4375126;3.2278001;4.746183;19;50.15248;0.46977612,60;3.3492625,60
46.80322;47.387394;48.34182;48.672115;50.099586;50.622257;10.21941;6.8257103;2.7495618;1.7632776;0.009917469;0.38720405;20;50.5923;0.6818219,60;1.7048287,60
48.88747;49.06462;49.45034;49.80105;50.86569;51.274124;1.2377224;0.8749339;0.3021258;0.039581787;0.7494163;1.6233923;21;49.684044;0.352405,60;1.1560512,60
48.527992;48.676903;49.074913;49.428658;50.00621;50.03645;2.166807;1.7505863;0.8557859;0.32643223;0.000038568163;0.0013285611;22;50.028656;0.50895756,60;0.58187264,60
49.446785;49.589977;49.908195;49.938545;50.302853;50.537613;0.30604687;0.16811864;0.008428067;0.003776689;0.09171972;0.28902766;23;50.20318;0.26947883,60;0.37524348,60
49.827934;50.009026;50.076015;50.244728;50.29223;50.472656;0.029606618;0.00008146098;0.0057783523;0.05989184;0.085397616;0.22340393;24;49.889572;0.13633977,60;0.49335587,60
49.396217;49.500217;49.621853;49.918373;49.919518;50.025913;0.36455348;0.2497826;0.14299525;0.0066629495;0.00647743;0.0006714959;25;50.023914;0.1974732,60;0.24844296,60
49.77547;49.968292;50.037506;50.062107;50.113926;50.221386;0.050413392;0.0010053823;0.0014067078;0.0038572901;0.012979118;0.04901174;26;50.18438;0.0990874,60;0.23963065,60
49.944748;50.077213;50.10293;50.154198;50.19639;50.283466;0.0030527918;0.0059618917;0.010594207;0.023776928;0.038568344;0.08035316;27;49.971333;0.04975205,60;0.33789775,60
49.633434;49.69412;49.706085;49.815758;49.819244;50.021084;0.13437042;0.09356349;0.086385906;0.033945207;0.03267259;0.00044452795;28;50.016567;0.07144202,60;0.16989529,60
49.846672;49.868557;50.02376;50.02807;50.086914;50.08801;0.023509458;0.017277269;0.0005646207;0.0007878431;0.0075540543;0.007745563;29;50.085922;0.052251857,60;0.0896673,60
49.996254;50.00853;50.021736;50.045376;50.090122;50.138176;0.000014032761;0.00007275515;0.00047246;0.0020589654;0.008122015;0.019092597;30;50.000328;0.02662013,60;0.124188714,60
49.87614;49.88494;49.954468;49.95975;49.994263;50.026947;0.015341152;0.01323855;0.0020731837;0.0016199716;0.000032916665;0.00072614197;31;50.02557;0.037896935,60;0.063157655,60
49.962414;50.006065;50.017456;50.035755;50.058773;50.063465;0.0014127233;0.000036788697;0.00030471385;0.0012784313;0.0034542703;0.004027821;32;50.00125;0.018952431,60;0.07446203,60
49.92679;49.935287;49.959866;49.970554;50.02003;50.020203;0.0053599486;0.0041877106;0.0016107725;0.0008670462;0.00040123996;0.00040814653;33;50.01964;0.027363786,60;0.037627064,60
49.982014;49.99707;50.001564;50.030052;50.03268;50.047005;0.0003235069;0.000008583069;0.000002446177;0.0009031338;0.0010680158;0.0022094417;34;49.987633;0.013808143,60;0.04069815,60
