x0;x1;x2;x3;x4;x5;f(x0);f(x1);f(x2);f(x3);f(x4);f(x5);Step;XVal;x-plus;x-minus
-60;16.967926;18.228548;23.65355;59.781975;60;60;16.967926;18.228548;23.65355;59.781975;60;1;47.0168;30.001492,60;43.31408,60
3.7027206;16.80395;45.890812;58.362904;58.523396;77.018295;3.7027206;16.80395;45.890812;58.362904;58.523396;77.018295;2;10.431368;16.081984,60;47.7658,60
-37.334435;-15.11955;-10.415973;23.514282;26.109962;26.513351;37.334435;15.11955;10.415973;23.514282;26.109962;26.513351;3;22.734612;12.2695055,60;24.60284,60
-1.8682289;8.719077;13.274574;20.916906;21.828821;35.004116;1.8682289;8.719077;13.274574;20.916906;21.828821;35.004116;4;-0.67514014;6.985355,60;29.913536,60
-30.588676;-26.537046;-19.660028;-12.550891;3.012552;6.310215;30.588676;26.537046;19.660028;12.550891;3.012552;6.310215;5;5.7449455;10.385343,60;15.04414,60
-9.299194;4.9560647;10.243274;10.542254;12.240031;16.130287;9.299194;4.9560647;10.243274;10.542254;12.240031;16.130287;6;6.917938;5.1957674,60;19.222477,60
-12.304539;-10.26466;-4.2156854;6.252904;10.274751;12.113706;12.304539;10.26466;4.2156854;6.252904;10.274751;12.113706;7;-1.4018764;4.0434074,60;9.880408,60
-11.282285;-2.0613585;-0.795593;1.9739466;2.581373;2.641531;11.282285;2.0613585;0.795593;1.9739466;2.581373;2.641531;8;2.6159582;2.7353308,60;5.8614407,60
-3.2454824;-2.8914764;-0.858341;0.14752007;5.225414;5.351289;3.2454824;2.8914764;0.858341;0.14752007;5.225414;5.351289;9;-1.5578831;1.3901733,60;4.2970676,60
-5.854951;-5.3866634;-4.9804425;-4.9223857;-1.3803238;-0.16770983;5.854951;5.3866634;4.9804425;4.9223857;1.3803238;0.16770983;10;-0.35119295;2.0747523,60;2.1516013,60
-2.5027943;-2.4891775;-1.5293493;-0.37171215;-0.102630675;1.7235594;2.5027943;2.4891775;1.5293493;0.37171215;0.102630675;1.7235594;11;0.78627324;2.8480015,60;1.0982641,60
-0.31199086;-0.19625199;0.32322246;0.78824687;1.2944984;3.6342747;0.31199086;0.19625199;0.32322246;0.78824687;1.2944984;3.6342747;12;-0.2546642;1.5528286,60;1.5395051,60
-1.7941693;-0.74885535;-0.5618446;0.7367891;0.9007936;1.2981644;1.7941693;0.74885535;0.5618446;0.7367891;0.9007936;1.2981644;13;1.1697716;0.8856876,60;0.85232514,60
0.3174464;0.72763574;1.4930639;1.8707806;1.949789;2.055459;0.3174464;0.72763574;1.4930639;1.8707806;1.949789;2.055459;14;0.63764226;0.4460681,60;0.79040396,60
-0.1527617;-0.12007376;0.011625588;0.30988947;0.8751306;1.0837104;0.1527617;0.12007376;0.011625588;0.30988947;0.8751306;1.0837104;15;-0.1221347;0.237303,60;0.863237,60
-0.9853717;-0.5539047;-0.527281;-0.45833796;-0.27833664;0.1151683;0.9853717;0.5539047;0.527281;0.45833796;0.27833664;0.1151683;16;0.107637525;0.3073999,60;0.44072562,60
-0.3330881;-0.14525282;0.02388969;0.14444627;0.15634656;0.41503742;0.3330881;0.14525282;0.02388969;0.14444627;0.15634656;0.41503742;17;-0.00015619397;0.16329187,60;0.3277769,60
