n_eval;f_min;min_point
7;+5.160525995198943e2;[35.91192901701767, 2.1792577175263093]
44;+4.730058062286465e2;[41.32599001895638, 0.05589417704062102]
53;+1.314189217079510e1;[46.4106082722787, 20.508093687975958]
168;+8.000763633513074e0;[48.57395030993648, 17.557225774865223]
247;+6.107132502472205e0;[47.57964022376794, 20.498990036042898]
300;+3.318995540780049e0;[48.25669243094899, 19.47096856381733]
318;+1.042747546614479e0;[49.36870760705274, 19.197368415011344]
617;+1.203295469822112e-1;[49.86056296619526, 19.682373079563543]
626;+9.343636004800393e-2;[49.73661858256368, 19.844865899953497]
1031;+5.873546329089386e-2;[49.82876335655341, 19.82849642793213]
1244;+1.783571242829783e-2;[49.870138577471195, 20.031172477718222]
1301;+1.963157808311936e-4;[49.995690497203086, 20.01333206534917]
1542;+2.007169247744528e-5;[50.0035472252933, 20.002736582758843]
1597;+8.593557419737772e-6;[49.99954569604503, 19.99710393968705]
1774;+6.364662263826890e-6;[49.99801399386716, 19.9984442230545]
1790;+5.736011266430774e-6;[49.99778174952587, 19.999097018216986]
1845;+3.827983093188158e-6;[49.99914726223122, 19.998239085069947]
1863;+6.041364093147906e-7;[49.9992264998737, 20.000076380389686]
1916;+1.736760297652629e-7;[49.99979457725402, 20.000362598297293]
2226;+6.985152209539789e-8;[50.00020291166634, 19.999830653084594]
2342;+1.049018081373292e-8;[49.9999364089788, 20.000080289244835]
2430;+5.255284474425557e-9;[49.999936592618326, 20.000035139556395]
2531;+3.416983884811660e-9;[49.99995370255769, 19.999964313437818]
2763;+2.682525394389836e-9;[49.99998329025423, 19.999950976436374]
2820;+6.385825840299939e-10;[49.99999747762414, 19.999974856010578]
3008;+4.627222735416699e-10;[50.00000108872444, 20.000021483411103]
3033;+3.212780256725926e-10;[49.999986869959315, 19.99998779835842]
3090;+2.322981181482556e-10;[49.99998492384236, 20.000002237764292]
3141;+2.216018877413134e-10;[49.99998744592586, 20.00000799981939]
3435;+9.822406400949453e-11;[50.00000147407062, 19.999990199429618]
3722;+4.739861533869550e-11;[50.00000013414521, 20.00000688335822]
3758;+3.751092261201474e-11;[50.000005874282735, 20.000001733125778]
3946;+2.138206717189051e-11;[50.00000435931895, 19.999998457792017]
4003;+3.410531600830664e-12;[49.99999878318077, 20.000001389202133]
4060;+2.179498922523832e-12;[50.0000006859914, 20.00000130725465]
4328;+1.381820625412774e-12;[49.99999986524027, 20.000001167758725]
4383;+5.463296929785260e-13;[49.999999288608095, 20.00000020062714]
4651;+2.830835708629330e-13;[50.00000052419546, 20.00000009111912]
4697;+1.672570994418843e-13;[49.99999993710844, 20.000000404106114]
4829;+1.992787478255417e-14;[50.000000079037235, 20.000000116965765]
4986;+6.726051813687302e-15;[50.000000081840255, 20.000000005312664]
5284;+6.418920807066027e-15;[49.99999992685224, 20.000000032685257]
5516;+2.615677747945058e-15;[50.000000020559696, 20.00000004682923]
5569;+8.559532443687608e-16;[50.00000001180301, 20.000000026770174]
5748;+4.398363471385068e-17;[49.99999999758918, 20.000000006178315]
5823;+3.041937457291260e-17;[50.000000005456265, 20.000000000805326]
5878;+1.269722457010009e-17;[50.000000002998995, 20.000000001924384]
6057;+8.986832534098071e-18;[49.999999999600746, 19.9999999970289]
6169;+2.252483324636865e-18;[49.99999999850053, 19.99999999993624]
6479;+8.591818595785853e-20;[49.99999999971941, 20.000000000084768]
6741;+1.925673335823377e-21;[49.999999999958725, 19.9999999999851]
7050;+1.504411767451259e-21;[50.0000000000094, 20.00000000003763]
7341;+5.118053317556044e-22;[49.999999999993676, 19.99999999997828]
7584;+7.652436718961431e-23;[50.00000000000097, 19.999999999991307]
7820;+2.774553807939479e-23;[50.000000000003084, 19.99999999999573]
7909;+1.726906136127628e-23;[49.999999999997016, 20.000000000002892]
8164;+1.274864856064469e-23;[49.999999999996675, 19.9999999999987]
8219;+3.545456452425315e-24;[50.00000000000113, 19.999999999998494]
8460;+1.098801199438726e-24;[49.999999999999716, 20.00000000000101]
8511;+7.144934099640166e-25;[49.99999999999925, 20.000000000000384]
8770;+1.081686073239051e-26;[49.999999999999986, 19.999999999999897]
8949;+6.462348535570529e-27;[49.99999999999994, 19.999999999999943]
9004;+1.981618593915182e-27;[49.99999999999998, 19.99999999999996]
9061;+4.038967834731580e-28;[50.000000000000014, 19.999999999999986]
9367;+1.009741958682895e-28;[49.99999999999999, 20.000000000000007]
9650;+6.310887241768094e-29;[49.99999999999999, 20.000000000000004]
9659;+5.048709793414476e-29;[49.99999999999999, 20.0]
9946;+0.000000000000000e0;[50.0, 20.0]
