n_eval;f_min;min_point
7;+1.636790460597786e1;[4.360875350181069, -12.007029255796787]
14;+9.832657213510206e0;[-3.681380645089252, -6.151276568420954]
28;+8.683809044769097e0;[-6.091407157154769, -2.5924018876143275]
35;+7.690767403154264e0;[6.8739888673329155, 0.8167785358213484]
53;+3.198429298649563e0;[0.3654956903209252, 2.832933608328638]
152;+1.988069776549863e0;[-1.7835223378841274, -0.20454743866573566]
188;+1.267110174872539e0;[0.4189455769371533, 0.848164597935386]
243;+5.527903647522647e-1;[-0.12670695948701477, 0.4260834052652499]
298;+3.673162320927957e-1;[0.05767735242519517, 0.30963887966760056]
475;+2.029352555490216e-1;[-0.18981268638951931, 0.013122569159502287]
550;+9.701856379734272e-2;[-0.031611638089406174, 0.06540692570793655]
806;+4.740234350237205e-2;[-0.014700771737758744, -0.0327015717646133]
1078;+3.546018428792668e-2;[0.033089359671985896, -0.002370824615940784]
1133;+2.697695325890373e-2;[0.0236299186814772, -0.0033470345774265246]
1240;+2.391070739332148e-2;[-0.019335772095212367, 0.0045749352981091125]
1285;+1.228535204795173e-2;[-0.005822786164879884, 0.006462565883071841]
1330;+8.173613820843997e-3;[-0.0036979253182400033, -0.004475688502603993]
1385;+2.996990435717866e-3;[-0.0007261157963546552, -0.002270874639363211]
1528;+1.327972517558404e-3;[-0.0002485713699034738, 0.0010794011476549306]
1573;+3.453937554388050e-4;[-7.530739130311582e-5, -0.00027008636413568916]
1873;+3.207303559657982e-4;[-0.0002730873916537075, 4.764296431209065e-5]
2025;+2.311559628557448e-4;[-0.0001904994959791409, -4.065646687660386e-5]
2121;+1.561377867965946e-4;[-0.00011242058504820461, -4.371720174839002e-5]
2176;+4.849449983311634e-5;[8.944603749152062e-6, -3.954989608396428e-5]
2426;+4.254423040678044e-5;[1.1044318385178347e-5, -3.14999120216021e-5]
2483;+3.447070378027242e-5;[-3.4684267745781055e-6, -3.100227700569431e-5]
2799;+2.990153217579013e-5;[-1.4063288974819089e-5, -1.5838243200971046e-5]
3003;+1.861627547693141e-5;[-2.1964186368635934e-6, -1.641985684006782e-5]
3042;+1.160694792340746e-5;[9.494858802559474e-6, -2.1120891208479905e-6]
3051;+7.021804670567985e-6;[5.7402817376582e-6, -1.281522932909786e-6]
3060;+2.469039642446380e-6;[8.091960095232479e-7, 1.6598436329231317e-6]
3381;+2.319684080487378e-6;[2.060699210915745e-6, -2.589848695716324e-7]
3677;+9.759516993136744e-7;[-4.726622346290239e-7, -5.032894646846504e-7]
3863;+4.413831989924070e-7;[5.682124327272244e-8, -3.8456195571968456e-7]
3920;+1.286063622441545e-7;[7.871700272989309e-8, 4.988935951426137e-8]
4170;+2.527657966933429e-8;[1.820449063920561e-8, -7.072089030128675e-9]
4227;+2.362705432023468e-8;[9.291314834983666e-9, 1.433573948525101e-8]
4388;+1.299430797061137e-8;[-2.2503488623639975e-9, -1.0743959108247373e-8]
4406;+1.104270924332627e-8;[-6.924783463421651e-9, 4.117925779904617e-9]
4463;+4.345805838347688e-9;[-2.892197448935362e-9, 1.4536083894123258e-9]
4518;+1.251438466055283e-9;[3.9508240887296024e-10, -8.563560571823229e-10]
