n_eval;f_min;min_point
7;+7.086908969444754e12;[7.676290907049589, -70.2550257430482]
14;+2.552681134106253e5;[6.962880904076872, -4.11962695162387]
78;+8.367899218433575e3;[5.567622548234301, -2.447533340271166]
227;+6.292388511993968e2;[-12.665054442673862, 0.07339678602725208]
282;+5.118561388759741e0;[-11.778907845176473, 1.11979892776028]
464;+3.602983440844842e0;[-6.22350198598239, 1.1969962815525472]
593;+4.025616743203935e-1;[2.177520573621641, 0.11108552648513678]
823;+4.282828851611881e-2;[3.355957183261189, 0.6037657647141439]
1070;+1.848694104514337e-2;[3.2698359992220674, 0.5768461960091477]
1344;+9.538107914292175e-3;[2.8196534276940177, 0.46493746982522627]
1351;+9.383310155801152e-3;[2.8587013667329186, 0.47986604986694764]
1388;+2.073260560116152e-3;[2.893421903615846, 0.4713335529026911]
1517;+1.567833619533710e-3;[2.906262975642427, 0.47630608147649284]
1572;+1.131773866745943e-3;[2.9286512820485795, 0.4783194462921022]
1621;+9.099588765810339e-4;[2.9348959156145984, 0.48048778533029923]
1706;+6.923096391725368e-4;[2.9674625311527514, 0.4966427777158178]
1749;+5.000582123666304e-4;[2.971131652256097, 0.4967848562739195]
1790;+1.075878765191711e-4;[3.003979316941961, 0.5031099780473085]
1843;+5.673567789376712e-5;[3.003298056945738, 0.5023555621979944]
1894;+4.617986024034572e-6;[2.998214348068765, 0.4999792323732191]
2161;+1.973408622009253e-6;[3.0019354359377335, 0.5002356297133908]
2454;+1.218441482447859e-6;[3.0027395801185395, 0.5007085196517596]
2636;+1.582426455066139e-9;[2.9999835691948187, 0.5000040952182672]
2860;+1.847628938487903e-10;[3.0000079798243617, 0.49999922747381953]
2992;+1.537277293198732e-10;[3.0000210028544423, 0.5000033095144084]
3086;+5.182197017420251e-11;[2.999982221083955, 0.49999536068328587]
3214;+3.286446429176315e-11;[2.9999859770025252, 0.4999967681365439]
3330;+9.758484917689750e-13;[2.999999801499106, 0.5000001558141882]
3383;+6.158709693620615e-13;[2.9999983123682683, 0.4999996648147652]
3577;+5.347142262004660e-13;[2.9999981777697373, 0.49999953631688476]
3628;+4.072162376217298e-13;[2.999998717392941, 0.4999997609466989]
3685;+3.106005717538870e-13;[2.9999986072405394, 0.49999965238658584]
3913;+3.022485655643168e-13;[2.999999236418332, 0.4999999058354837]
3962;+3.484593355467451e-14;[3.0000004489102166, 0.5000001007169623]
4090;+2.318396445939255e-14;[3.0000002534362453, 0.5000000864974987]
4131;+2.055025913555714e-14;[3.000000307962468, 0.5000000916238558]
4186;+1.915025294155047e-14;[3.0000003180851422, 0.5000000901953325]
4202;+2.456677896151736e-16;[3.000000039047298, 0.5000000099478386]
4253;+2.737517335353800e-17;[3.0000000058634693, 0.5000000024278026]
4543;+2.135088716178791e-17;[3.000000011324447, 0.5000000026190539]
4734;+3.211161195877505e-18;[2.9999999967419697, 0.4999999989360528]
4842;+1.317521504753220e-18;[2.999999997404689, 0.49999999945833373]
5154;+6.181773713720815e-19;[2.999999998035675, 0.4999999995178846]
5305;+6.124780525649887e-19;[2.9999999997375557, 0.4999999997734315]
5378;+1.712643816221840e-19;[3.00000000102976, 0.500000000247189]
5401;+8.245900814108396e-20;[2.9999999996582254, 0.49999999986267]
5452;+6.447911456358006e-20;[2.9999999993896775, 0.4999999998631727]
5461;+3.181101286911870e-20;[2.9999999996308993, 0.49999999992930344]
5609;+2.058067582309580e-20;[3.0000000000265015, 0.49999999997678035]
5652;+4.207456160836815e-21;[3.0000000000503633, 0.4999999999996497]
5703;+1.282589215709676e-21;[3.000000000074754, 0.500000000022639]
5890;+4.891599538899830e-22;[3.0000000000257425, 0.500000000010459]
5945;+9.573511982831206e-23;[3.0000000000154468, 0.5000000000054099]
5996;+9.201956958193344e-23;[3.0000000000194276, 0.5000000000059881]
6120;+6.511798506054777e-23;[3.00000000001997, 0.5000000000051881]
6165;+6.168968680006983e-23;[3.000000000018188, 0.5000000000051257]
6241;+5.393748347413012e-23;[2.999999999982103, 0.4999999999959025]
6296;+4.968430842006905e-23;[2.9999999999823963, 0.49999999999569505]
6303;+2.499134453044671e-23;[2.999999999996196, 0.5000000000000483]
6449;+2.193056508100580e-23;[3.000000000011551, 0.500000000003022]
6531;+4.577360992935720e-24;[3.00000000000528, 0.5000000000012388]
6580;+2.059096053112982e-24;[3.0000000000035807, 0.5000000000008707]
6877;+1.519092635667548e-24;[3.000000000001717, 0.5000000000006388]
6930;+3.125139652469498e-25;[2.9999999999986113, 0.49999999999964273]
7101;+2.171777736757145e-25;[3.0000000000011187, 0.5000000000002504]
7122;+1.632289106519149e-26;[3.00000000000003, 0.500000000000034]
7175;+3.597464572792339e-27;[3.000000000000136, 0.5000000000000284]
7465;+1.445636912624080e-27;[2.999999999999962, 0.4999999999999978]
7707;+9.427011076907532e-28;[3.000000000000041, 0.5000000000000155]
7742;+8.616456496792942e-28;[3.000000000000073, 0.5000000000000173]
7758;+4.832420156940011e-28;[3.0000000000000258, 0.5000000000000023]
7776;+6.990355326147911e-29;[3.000000000000007, 0.5000000000000001]
7783;+4.739328407148110e-29;[3.000000000000016, 0.5000000000000034]
8056;+4.351060930359643e-30;[2.999999999999998, 0.49999999999999983]
8188;+3.574525976782710e-31;[3.0, 0.5000000000000001]
8286;+0.000000000000000e0;[3.0, 0.5]
