n_eval;f_min;min_point
10167;+8.708468845119361e-7;[1.0009327031759054, 1.0018692956746582]
10239;+8.637176957385912e-7;[1.0009257248122574, 1.0018605232007727]
10311;+8.575337049195571e-7;[1.0009239143596311, 1.0018549401009733]
10381;+8.523182159342615e-7;[1.0009221728987443, 1.0018495726838132]
10451;+8.476311764749541e-7;[1.0009202241035167, 1.0018441564452707]
10521;+8.439832647508481e-7;[1.0009186116063837, 1.0018392331705428]
10595;+8.408860237111901e-7;[1.00091699076404, 1.0018344487375073]
10667;+8.386320538086121e-7;[1.0009155630006554, 1.0018300240362115]
10739;+8.367432680124393e-7;[1.0009141293897352, 1.0018257616551427]
10811;+8.355106178882235e-7;[1.0009128499570203, 1.001821826220816]
10883;+8.346914852911572e-7;[1.0009116294251266, 1.0018180705526027]
12478;+1.540766649342909e-8;[0.9998758790129648, 0.9997516450936913]
12552;+1.540746635966238e-8;[0.999875880016803, 0.9997516452037878]
12578;+1.206628573003415e-8;[1.000020487393673, 1.000030183287681]
12591;+8.571935992354494e-9;[1.0000170247246234, 1.0000249491376003]
12622;+5.085451968493100e-9;[0.9999446542750252, 0.9998848146112034]
12696;+5.084856942517270e-9;[0.9999446539715533, 0.9998848147032773]
13357;+4.917850951692576e-9;[1.000067394994168, 1.0001328560626945]
13415;+4.299681256522340e-9;[1.0000641079677328, 1.000129597904977]
13527;+4.296790055729117e-9;[1.000063996438325, 1.0001294155839715]
13579;+4.156548597534016e-9;[1.0000643302522163, 1.000128238412274]
13605;+1.236310287951109e-9;[0.9999929918041636, 0.9999825380871277]
13681;+5.320289804217455e-10;[0.999992520006552, 0.9999828581463279]
13751;+1.565467173825675e-10;[0.9999920679817673, 0.9999831684015028]
13821;+7.427839072278656e-11;[0.9999916299985138, 0.9999834655291453]
13893;+6.909102884464501e-11;[0.9999916963420206, 0.9999834302086997]
13965;+6.844019865360555e-11;[0.9999917330070698, 0.9999834349333985]
14037;+6.831133939335607e-11;[0.9999917355605823, 0.9999834610009894]
14109;+6.819253628977941e-11;[0.9999917440004351, 0.9999834704600924]
14135;+5.653028967468016e-11;[0.9999927392302083, 0.9999852832822027]
14179;+5.447508917111335e-11;[0.9999931230888983, 0.9999859782104832]
14192;+3.124351043511792e-11;[1.0000054568606362, 1.00001103483707]
14268;+3.123892979609643e-11;[1.0000054569241132, 1.0000110347460738]
14281;+2.280648197005675e-13;[1.0000004770013016, 1.0000009516907364]
14353;+2.277305270095951e-13;[1.0000004768446986, 1.0000009518197037]
14397;+1.016364223212552e-13;[1.0000002865484556, 1.000000559123302]
14471;+1.005190136470265e-13;[1.0000002863641075, 1.0000005591214562]
14484;+9.733115624220076e-14;[1.000000271765349, 1.0000005282092994]
14497;+9.300006424452375e-14;[1.0000002659179108, 1.000000516906817]
14541;+9.155205432833406e-14;[1.0000002647859816, 1.0000005149294795]
16088;+2.897642605267125e-14;[0.9999999569691045, 0.9999999304078095]
16160;+2.426803677527736e-14;[0.9999999574894279, 0.9999999299658147]
16232;+2.017935488099989e-14;[0.9999999579938155, 0.99999992955776]
16245;+1.580881620636478e-14;[0.99999988250539, 0.9999997694872128]
16319;+1.528955158580263e-14;[0.9999998825432777, 0.999999768951113]
16378;+1.434463472460972e-14;[0.9999998833260944, 0.9999997693574463]
18182;+1.408160851714495e-14;[1.0000000599608523, 1.000000130161974]
18226;+1.387777424697492e-14;[1.0000000600483565, 1.000000130231789]
18252;+1.214518251333517e-14;[1.0000000608200637, 1.000000130830399]
19700;+1.005598683159514e-14;[0.9999998997854534, 0.9999997999319085]
19726;+5.147729432362600e-16;[0.9999999846284591, 0.9999999709257164]
19800;+4.476831150801976e-16;[0.9999999845978174, 0.9999999706463447]
19872;+3.532045823546391e-16;[0.9999999847522518, 0.9999999706031883]
19903;+2.992533971445254e-16;[0.9999999863115823, 0.9999999736809011]
19944;+2.867102810777048e-16;[0.9999999848979144, 0.999999970561579]
19975;+2.800429867063160e-16;[0.9999999848126784, 0.9999999703281247]
20014;+2.440036629075610e-16;[0.9999999850372601, 0.9999999705230744]
20045;+2.360329047068101e-16;[0.9999999852160921, 0.9999999708501435]
20084;+2.222169846987084e-16;[0.9999999851682864, 0.9999999704861475]
20115;+2.176665636648035e-16;[0.9999999853087045, 0.9999999707527754]
21943;+2.112085992694742e-16;[1.0000000142779366, 1.0000000282847807]
21974;+2.104393822143119e-16;[1.0000000142673144, 1.000000028272272]
22002;+2.102902475153990e-16;[1.0000000142656433, 1.0000000282708705]
23375;+7.131449691182246e-17;[0.9999999915555572, 0.9999999831187842]
23521;+7.118208183420630e-17;[0.9999999915810456, 0.9999999831070197]
23595;+7.090471605960272e-17;[0.9999999915818691, 0.9999999831437912]
23673;+7.079301996917011e-17;[0.9999999915872796, 0.999999983160719]
23747;+7.068804450190334e-17;[0.9999999915928042, 0.9999999831771806]
23819;+7.057566965997521e-17;[0.9999999915991862, 0.9999999831939039]
23880;+6.325924692578061e-17;[0.9999999975620701, 0.9999999943670687]
25313;+4.894091391581565e-17;[0.9999999935673063, 0.9999999868596332]
25385;+4.723306326473638e-17;[0.9999999935529296, 0.9999999868677762]
25429;+4.733788763467964e-18;[1.000000002145131, 1.0000000042539023]
25503;+4.674855887592615e-18;[1.0000000021416233, 1.0000000042535304]
25575;+4.626694334814382e-18;[1.0000000021382451, 1.0000000042531232]
25588;+4.582419290208374e-18;[1.0000000021149213, 1.0000000042629376]
25601;+3.734071463512570e-18;[1.0000000019313469, 1.0000000038563923]
25647;+3.627304619845084e-18;[1.0000000019044775, 1.0000000038105987]
25721;+3.621119503319609e-18;[1.0000000019015678, 1.0000000038103185]
27566;+2.047709561950984e-18;[0.9999999989860004, 0.9999999980729719]
27592;+1.892906677154029e-18;[0.9999999994886589, 0.9999999991050456]
29413;+1.318726834653238e-18;[0.9999999989117354, 0.9999999978601324]
29457;+1.178082584516094e-18;[0.999999998962668, 0.9999999979572773]
29483;+6.805021875465443e-19;[1.0000000001752198, 1.0000000002698295]
31121;+2.653221022186206e-19;[0.9999999995191535, 0.9999999990567756]
31178;+1.842479810658782e-19;[0.9999999995942206, 0.9999999991744444]
31191;+1.036280923165354e-19;[0.9999999999235396, 0.9999999998158091]
31265;+1.029609253551423e-19;[0.9999999999235238, 0.9999999998158848]
31343;+1.023162052206250e-19;[0.9999999999234666, 0.9999999998158753]
32711;+5.011776346820185e-20;[0.9999999997772246, 0.9999999995522382]
32798;+4.826094195059383e-20;[1.000000000213698, 1.0000000004223026]
32857;+6.435729767359537e-22;[1.0000000000253535, 1.000000000050795]
33014;+5.872270816311510e-22;[1.0000000000201372, 1.0000000000416225]
33090;+5.761524160273384e-22;[1.0000000000201474, 1.0000000000415996]
33164;+5.650163579152226e-22;[1.000000000020162, 1.0000000000415832]
33240;+5.548926810931633e-22;[1.0000000000201754, 1.0000000000415668]
35134;+3.770676834483746e-22;[1.0000000000085039, 1.0000000000187534]
36744;+3.694729621598218e-22;[1.0000000000192215, 1.000000000038451]
36892;+2.416998708140374e-22;[1.0000000000154967, 1.0000000000308689]
37036;+1.710234911820082e-22;[1.0000000000119416, 1.0000000000244162]
38713;+1.681995484099577e-22;[1.0000000000129465, 1.0000000000259697]
38789;+1.676016105792467e-22;[1.000000000012946, 1.0000000000258942]
38865;+1.668752081799308e-22;[1.0000000000129152, 1.0000000000258573]
38937;+1.663018886766156e-22;[1.0000000000128857, 1.0000000000258225]
40674;+5.279546685652223e-23;[1.0000000000072657, 1.0000000000145381]
40750;+5.236606777770509e-23;[1.0000000000072151, 1.0000000000144857]
40826;+5.200618686894532e-23;[1.000000000007188, 1.0000000000144342]
42468;+5.084483136630529e-23;[1.0000000000034275, 1.0000000000062297]
42481;+3.339881193790892e-23;[1.000000000003892, 1.0000000000073568]
42538;+3.092912692617434e-23;[1.0000000000039722, 1.000000000007555]
42551;+2.115190494539466e-23;[1.0000000000038192, 1.000000000007382]
42610;+2.006803964390494e-23;[1.0000000000037992, 1.000000000007361]
42623;+1.499179051907397e-23;[1.0000000000037512, 1.0000000000074065]
42680;+1.480430811070592e-23;[1.000000000003748, 1.0000000000074087]
42693;+1.385862574974291e-23;[1.00000000000369, 1.0000000000074292]
44459;+9.494214334638536e-24;[1.000000000002451, 1.0000000000050886]
44490;+6.742615481711709e-24;[1.0000000000023797, 1.0000000000048632]
44560;+5.803365147443232e-24;[1.000000000002393, 1.0000000000048137]
44601;+5.766257870018734e-24;[1.0000000000023985, 1.0000000000048086]
45990;+3.428933808115120e-25;[0.9999999999997673, 0.9999999999994809]
46064;+8.264995544208858e-26;[0.9999999999997203, 0.999999999999434]
46138;+4.130002383194085e-26;[0.9999999999998428, 0.9999999999996727]
46210;+3.350016163156810e-26;[0.9999999999999241, 0.9999999999998315]
46284;+1.474860511377026e-26;[0.9999999999999326, 0.9999999999998753]
46358;+5.614027239618483e-27;[0.9999999999999509, 0.9999999999998962]
46436;+4.913420148169072e-27;[0.9999999999999409, 0.9999999999998856]
46508;+3.976647823219121e-27;[0.9999999999999369, 0.9999999999998739]
48016;+3.847718369022061e-27;[1.0000000000000508, 1.0000000000000981]
49101;+3.834652860279338e-27;[0.9999999999999387, 0.9999999999998765]
50104;+3.954658325486085e-28;[1.0000000000000198, 1.0000000000000393]
50250;+3.781108926337462e-28;[1.0000000000000193, 1.0000000000000389]
50392;+3.731805119761149e-28;[1.0000000000000193, 1.0000000000000386]
51793;+1.651184482240730e-28;[0.999999999999996, 0.9999999999999932]
53398;+1.579693962705076e-28;[1.0000000000000107, 1.0000000000000207]
54549;+1.047705889746656e-28;[1.0000000000000078, 1.0000000000000149]
54575;+3.388404106957127e-29;[0.9999999999999952, 0.9999999999999901]
55710;+2.465190328815662e-29;[1.0000000000000022, 1.0000000000000049]
55723;+1.109335647967048e-29;[0.9999999999999967, 0.9999999999999933]
56801;+2.724035313341306e-30;[0.9999999999999988, 0.9999999999999974]
58088;+7.888609052210118e-31;[1.0000000000000009, 1.0000000000000018]
58611;+4.930380657631324e-32;[1.0000000000000002, 1.0000000000000004]
59135;+0.000000000000000e0;[1.0, 1.0]
