n_eval;f_min;min_point
13;+5.276867031593557e4;[1.9971213881967267, 26.959709754958524]
26;+4.481061661959580e4;[3.3208237957921556, -10.139375334792955]
39;+1.784599175146009e4;[3.062065677449066, -3.981051281841898]
52;+6.282232884431612e3;[-0.7929651507879378, 8.552819323709777]
80;+3.779042192127155e2;[0.15307156301894853, -1.9186991937700668]
207;+2.234911503983001e2;[-2.51066776983854, 4.850296216366478]
250;+4.392622492844558e1;[-0.010016972145456854, -0.654927069194982]
330;+1.340502218632594e1;[-0.1746575405427946, 0.3772789845502129]
358;+5.040669866924752e0;[-0.16578011235235524, -0.1643926067009076]
664;+1.501921153607831e0;[0.039650423160227544, -0.07456258265502114]
1090;+1.046941353916203e0;[0.03050800319979441, -0.03178418525535216]
1234;+6.761132708610900e-1;[0.3754797540234583, 0.08749787589038928]
1312;+5.352056259169650e-1;[0.32052004660807004, 0.07561988968658885]
1352;+3.555641122696016e-2;[1.137907968604893, 1.307694484136544]
1504;+3.041333389268581e-2;[1.1621430391586314, 1.356997478229669]
1838;+2.564629191131795e-2;[0.843586886159734, 0.7082019322179366]
2884;+1.534334240935404e-2;[1.1228631654662509, 1.2592469344722872]
3328;+5.066421256728590e-3;[0.9378089830410827, 0.8760234658802613]
3404;+4.862381172831921e-3;[0.9322836310724465, 0.8708167235489637]
5111;+4.041324682879226e-3;[1.0066819276025214, 1.0197304306992898]
5189;+2.959109890763911e-3;[1.0069622961186397, 1.0193680971515315]
5265;+1.966629977965663e-3;[1.0073680391601152, 1.0191633995671108]
5339;+1.252294271367234e-3;[1.0077105684630527, 1.0189343434100695]
6600;+9.291245374666943e-4;[0.9799603355433493, 0.9580254432117928]
6670;+6.876863767772993e-4;[0.9798048016569215, 0.9583446064384431]
6740;+5.295330617325750e-4;[0.979655875795824, 0.9586502296060981]
6810;+4.452962623597256e-4;[0.979513961389892, 0.9589414534997911]
6880;+4.252985864316128e-4;[0.9793797455958138, 0.9592168877507079]
6952;+4.252985367405349e-4;[0.9793797480402651, 0.9592169004751956]
6965;+3.526222012188723e-4;[0.9830634602463049, 0.9656027439223771]
7035;+3.291660351318503e-4;[0.9830194118456279, 0.9656882144502258]
7092;+3.270408523487669e-4;[0.9830034385758863, 0.9656780406383962]
7105;+3.123993829124899e-4;[0.9829776461189745, 0.9657692497508871]
7162;+3.118702315947263e-4;[0.9829765610088903, 0.9657731029700529]
7175;+3.014906191284141e-4;[0.9829383584709359, 0.9658454656971389]
8323;+2.016785713225072e-4;[0.9915268608343678, 0.9819858470147]
8395;+2.011524311628874e-4;[0.9915248960958442, 0.9819844078782485]
8439;+1.922219649405845e-4;[0.9906537566122368, 0.9803708064121621]
8511;+1.907500898834202e-4;[0.9906560259178747, 0.9803823059453847]
8537;+1.892446661345492e-4;[0.9902402123010015, 0.9796061874174153]
8581;+1.875477417190965e-4;[0.9900604044761439, 0.9792775207437399]
8651;+1.863019598332864e-4;[0.9900624803981615, 0.9792880460053757]
8721;+1.851189000763001e-4;[0.9900644698809151, 0.9792981162409512]
8791;+1.840091920158198e-4;[0.9900663432573635, 0.9793076127006146]
8804;+1.827808951537285e-4;[0.9893473596086405, 0.9779757188486577]
8863;+1.819329173251811e-4;[0.9892185178139683, 0.9777427665216072]
8937;+1.810566823615748e-4;[0.989220200027822, 0.9777512930546133]
9009;+1.802377519608456e-4;[0.989221782133811, 0.9777593107876308]
9511;+1.038852450033828e-4;[1.0004941211563116, 1.0020065291456692]
9623;+2.008066769946420e-5;[1.0007706213141179, 1.0019832751617042]
9679;+1.675199274922563e-5;[1.0007993720562518, 1.002000793086451]
9735;+2.521313876253477e-6;[1.0010520664015796, 1.0019863081471376]
9791;+1.591755808198937e-6;[1.0010122293802164, 1.0019501741734276]
9843;+1.298979176684840e-6;[1.0009937918272724, 1.0019327719057112]
9897;+1.216419120464970e-6;[1.0009877807012406, 1.0019274750701554]
9951;+1.142267033673901e-6;[1.0009816262122282, 1.0019219458106519]
10023;+9.340166580925542e-7;[1.0009617578797838, 1.0019149336673832]
10095;+9.250865239804487e-7;[1.0009480664158028, 1.001880827774591]
