n_eval;f_min;min_point
13;+1.654084053689720e1;[-2.7488952455598064, -3.795381319283253]
26;+2.760558017572149e0;[-2.5952813301555757, -0.412370515688123]
245;+2.510470386966049e0;[-1.0758965459952705, -1.452978896731949]
359;+3.247521460619553e-1;[0.2780447216026163, -0.04720982270855445]
432;-8.829097252971557e-2;[-0.176521050994927, 0.26774867837173155]
610;-1.330011622216496e-1;[-0.15282005865587944, 0.08718219976041075]
625;-1.954464804626407e-1;[-0.6070389847633753, -0.32777405353086253]
685;-3.116458881684669e-1;[-0.4974929980434155, -0.07570546688820898]
861;-3.170599472021380e-1;[-0.5374694395188615, 0.016032897776912306]
979;-3.179899289606221e-1;[-0.5124291148617469, -0.004992307738255915]
1194;-3.180457958118806e-1;[-0.5160349723165858, 0.0025990600959847837]
1266;-3.180464796378739e-1;[-0.5159721375762047, 0.002409668213377855]
1281;-3.180512299649408e-1;[-0.5164549870650401, -0.0016530788416815032]
1344;-3.180535135320772e-1;[-0.5179743591906207, 0.0005861046280066407]
1422;-3.180540430216129e-1;[-0.5177509337238112, -0.0005851070241607555]
1500;-3.180546762475176e-1;[-0.5169066712897754, -0.0003295223494905392]
1578;-3.180548667559213e-1;[-0.5173787678378805, 7.641631169947322e-5]
1656;-3.180548834054579e-1;[-0.5173535576416142, 6.66955721350043e-5]
1671;-3.180549205278251e-1;[-0.5172761289625039, -1.0789088196762125e-5]
1747;-3.180549318712760e-1;[-0.5171918291875872, -1.826999724194319e-5]
1808;-3.180549320042971e-1;[-0.5172008374618626, 1.2889581131164914e-5]
3759;-3.180549320886439e-1;[-0.5171913877244794, -1.0523160180965037e-5]
4945;-3.180549321897840e-1;[-0.5171979638147157, -4.786404312599971e-6]
4975;-3.180549322129913e-1;[-0.5171933967846275, 2.5884070612780654e-6]
5101;-3.180549322226548e-1;[-0.5171965704653649, 4.474352628607726e-8]
5179;-3.180549322241307e-1;[-0.5171962009505788, 1.2304618044392988e-7]
5257;-3.180549322252473e-1;[-0.5171957736097957, 1.3326248161028016e-7]
5335;-3.180549322255715e-1;[-0.5171949531372315, -1.73483416857766e-7]
5411;-3.180549322257215e-1;[-0.517195374285744, -7.156197755850548e-8]
5485;-3.180549322257449e-1;[-0.5171951914171189, 6.758491724397824e-8]
5561;-3.180549322257523e-1;[-0.5171952283463618, -4.520826093311558e-8]
5715;-3.180549322257544e-1;[-0.5171952653285264, 1.1237724164012924e-8]
7425;-3.180549322257548e-1;[-0.5171952410545457, 1.0584457113664272e-8]
9379;-3.180549322257549e-1;[-0.5171952405214122, 1.049068473219095e-9]
11181;-3.180549322257550e-1;[-0.517195253593224, 1.483270132152402e-9]
13049;-3.180549322257550e-1;[-0.5171952465365895, 5.267347581559969e-9]
