n_eval;f_min;min_point
13;+4.403046002279632e1;[-1.7408825929832847, -1.7701885607450212]
26;+3.381712959167231e1;[8.638707230769974, 4.631936168370046]
52;+1.698158721568068e1;[0.0860625968743598, -0.03876977887999988]
127;+2.517971809360194e0;[2.3636398466066124, 2.329420038888995]
185;+2.483133450989599e0;[2.2750799124600034, 2.118655180744841]
245;+1.982144610818342e0;[2.507209471511004, 2.390518212685526]
423;+1.902670095353934e0;[2.224820744492873, 1.7341056534562513]
705;+1.784262926556056e0;[2.5105131224532746, 2.1711643942881866]
763;-3.648404972920190e-1;[2.9195564035346515, 2.721976199438443]
776;-1.726165235957334e0;[3.2765634541431545, 3.1936418587980095]
937;-1.762252313765853e0;[3.1206716937465133, 3.077983322050489]
1013;-1.781763742854435e0;[3.1309415068855917, 3.0951798408554074]
1081;-1.784126639411574e0;[3.132103326621185, 3.098094062224386]
1153;-1.785459486315262e0;[3.132845347816066, 3.0997778687546593]
1227;-1.789608369428742e0;[3.1358541057987193, 3.1049505584490085]
1299;-1.790278707054913e0;[3.1363031709617717, 3.1059591264189113]
1375;-1.793243812952265e0;[3.1387772916106798, 3.1103861153052783]
1453;-1.794282478259118e0;[3.140855957336391, 3.1104058575102154]
1525;-1.795401471004237e0;[3.1430507811743205, 3.1106439249977553]
1599;-1.796449245394729e0;[3.1451815570010675, 3.1109129633424057]
1673;-1.797413775896402e0;[3.147229813502955, 3.1111874055805973]
1747;-1.798270106841464e0;[3.1491505654464156, 3.1114280050565766]
1819;-1.799033628551166e0;[3.150950010740753, 3.1116493760837276]
1893;-1.799737262607983e0;[3.1526763248405203, 3.111878222422744]
2972;-1.804122021507437e0;[3.2103143446926667, 3.1390036015720435]
3048;-1.806953696951036e0;[3.171150919475037, 3.135823557613789]
3124;-1.808107721680794e0;[3.1904945247335452, 3.1266524626081154]
3202;-1.808349158506760e0;[3.185770619699334, 3.1295025139640593]
3668;-1.808349544360630e0;[3.1845372301234205, 3.1300131806520266]
3742;-1.808351508899874e0;[3.1852688687945725, 3.1300301190893016]
3820;-1.808352029664576e0;[3.185152712023894, 3.129776288366362]
5386;-1.808352032830510e0;[3.185176741302147, 3.1298109595848724]
5776;-1.808352034785278e0;[3.1851523342612014, 3.129813917268269]
7730;-1.808352035691083e0;[3.1851599694721746, 3.1298064488533752]
8898;-1.808352035755840e0;[3.1851608824423714, 3.1298025888675682]
8974;-1.808352035856467e0;[3.1851533646212937, 3.1298006011070876]
9115;-1.808352035898423e0;[3.1851533642751013, 3.1298023798846257]
9193;-1.808352035922502e0;[3.1851553177406746, 3.1298029158084835]
9577;-1.808352035922565e0;[3.185155412783311, 3.1298027715440035]
9653;-1.808352035922584e0;[3.185155336778381, 3.1298028194771277]
11386;-1.808352035922586e0;[3.1851553984144894, 3.1298027930042984]
13049;-1.808352035922596e0;[3.185155378001114, 3.129802832889985]
14905;-1.808352035922596e0;[3.1851553897755176, 3.1298028210104825]
15005;-1.808352035922597e0;[3.185155384194401, 3.1298028252342105]
