n_eval;f_min;min_point
13;+2.428983805962923e3;[4.582312352858462, 0.8631911032792496]
121;+1.502578280029070e3;[14.89284408384041, 3.5663186258364186]
173;+1.472806948602404e3;[15.283324768986121, 3.6427566654184997]
186;+7.190654683639760e2;[68.29556668580632, 39.60453284343164]
240;+3.335289238483433e2;[64.96805553963043, 9.536432863937739]
294;+3.277885492927215e2;[65.21720332749847, 10.190551892063903]
335;+9.212751181546844e1;[40.40188805909948, 20.061310565249553]
350;+4.588079947306561e1;[51.098811554730936, 13.316182779260387]
391;+1.762247534727035e0;[48.714214612488604, 19.669843261481454]
462;+1.324638063896832e0;[50.85665779807509, 20.768619204088715]
518;+7.772876641840103e-1;[50.61733987591861, 20.629427630299787]
561;+6.886006903945250e-1;[50.80519801231155, 19.799358899115724]
576;+5.545713852610763e-1;[50.53794360886009, 20.514964133651713]
619;+2.382279533154106e-1;[50.425905081580694, 19.761603660264775]
675;+2.210587357526985e-1;[50.41049163334793, 19.770750453208635]
688;+3.439985992424317e-2;[50.18256290247493, 20.032720735996815]
746;+8.869529082060458e-3;[49.94273898564856, 19.925228980764572]
802;+2.772238574908647e-3;[49.984676001168566, 20.050372746944383]
858;+1.864731532877736e-4;[50.009630239127475, 19.990318489392898]
916;+1.439645155103480e-4;[50.00780242290686, 19.990884808707833]
990;+1.431064376496996e-4;[50.00809201344529, 19.991189452000533]
1062;+1.315804371907953e-4;[50.007635333543234, 19.99143950241666]
1123;+1.214815301652164e-4;[50.00052201008199, 20.011009497519847]
1136;+5.895721101253131e-5;[50.00363695439228, 19.993237620702665]
1212;+1.395560763272708e-5;[50.001405954478116, 19.99653894529974]
1286;+3.162156459593798e-7;[49.999473624265846, 19.999802150985715]
1438;+2.638795921978536e-7;[50.00051227792933, 20.00003809088234]
1514;+8.323342014518444e-8;[49.99971551344664, 20.000047966875044]
1592;+2.548393488910035e-8;[50.000107980385366, 19.999882423764028]
1670;+9.549568515373277e-9;[49.999991954970795, 20.000097390174147]
1748;+7.269676118361883e-9;[50.00000636975587, 20.00008502412792]
1824;+6.988015321795183e-10;[49.999974171389795, 20.00000562889217]
3506;+5.232741482638217e-10;[50.000020867200824, 19.999990628016324]
3584;+1.510346239868758e-10;[49.99999035462695, 19.9999923841348]
3662;+1.452199554071548e-11;[49.99999918615469, 19.99999627714473]
5511;+1.085320265078598e-11;[49.99999884359586, 20.00000308479045]
7046;+3.205549156225837e-13;[50.00000046113978, 20.000000328488998]
7122;+1.581933367975037e-13;[49.99999960228686, 19.999999995805076]
7194;+7.621864529518361e-14;[49.99999972985299, 20.000000056914295]
7420;+1.988816995620804e-15;[50.0000000254409, 19.999999963372446]
9383;+4.021281023352259e-16;[50.00000000204381, 19.999999980051292]
11120;+4.050308627932966e-17;[50.00000000460481, 20.000000004393044]
11194;+2.452606034338045e-18;[49.999999999589036, 20.000000001511197]
13144;+1.434363201400004e-18;[49.99999999985519, 20.000000001188862]
14833;+1.100225156178600e-18;[49.99999999896198, 20.000000000150813]
14909;+3.835398690021248e-19;[50.000000000158465, 20.00000000059869]
14987;+6.326751531183789e-20;[50.00000000022911, 19.999999999896186]
15059;+1.317852076667835e-20;[49.9999999998865, 20.0000000000172]
16758;+9.266115440552152e-21;[50.00000000001698, 20.00000000009475]
18409;+6.501827679106602e-21;[49.99999999997008, 20.000000000074877]
20321;+5.147536318623744e-21;[49.999999999976595, 19.99999999993218]
20380;+2.844900005846020e-22;[50.000000000011994, 19.99999999998814]
22315;+4.482165037414125e-23;[50.000000000004746, 19.99999999999528]
24037;+7.371217272581003e-24;[49.999999999997506, 20.000000000001073]
24252;+4.875539047500359e-25;[50.0000000000006, 19.999999999999638]
25710;+2.969272447251888e-25;[50.000000000000306, 20.00000000000045]
25786;+1.274799222837155e-25;[50.000000000000185, 20.000000000000306]
27760;+6.689540476274180e-26;[49.999999999999844, 19.999999999999794]
29708;+3.530310323045072e-26;[49.99999999999995, 19.99999999999982]
31654;+2.549598445674310e-26;[49.999999999999865, 19.999999999999915]
33640;+1.979094239018474e-26;[50.0000000000001, 19.9999999999999]
35414;+1.100618734964356e-26;[49.99999999999991, 19.99999999999995]
35429;+1.262177448353619e-27;[50.00000000000003, 19.99999999999998]
35507;+8.077935669463161e-28;[50.0, 19.99999999999997]
37297;+5.048709793414476e-28;[50.00000000000001, 20.00000000000002]
37471;+4.670056558908390e-28;[50.00000000000002, 19.999999999999996]
39347;+3.155443620884047e-28;[50.000000000000014, 19.99999999999999]
39380;+5.048709793414476e-29;[50.0, 19.999999999999993]
41318;+0.000000000000000e0;[50.0, 20.0]
