n_eval;f_min;min_point
13;+7.225186623456661e0;[0.8907233783081772, 2.0205464706548604]
39;+1.676152353448757e-3;[-0.002614097759028766, -0.0012709601795837244]
889;+1.692130616639531e-4;[-8.82736385927202e-5, 0.000919310900690383]
1475;+6.958408297741414e-5;[9.228942108130715e-5, -0.0005849985112707633]
1490;+5.297127847470051e-6;[-0.00015524188617012033, 5.099271111728542e-5]
3109;+4.395101546705860e-6;[-2.9690826207536816e-5, 0.00014584947498095906]
4839;+2.102045469243308e-6;[9.54453860002515e-5, -3.854333067198766e-5]
5957;+4.015435273174717e-8;[3.6377561931677277e-6, 1.3753751623380318e-5]
6311;+2.395378295716455e-8;[1.0133174410353082e-5, -4.24951661644356e-6]
6765;+1.486922052151840e-8;[8.60992760958444e-6, -9.043248639154622e-7]
8144;+2.990665493030065e-9;[2.0211107902219231e-7, 3.877328984252006e-6]
8222;+2.567746903991974e-9;[1.5424643374997057e-7, 3.5943001760718447e-6]
8300;+6.447642419971089e-11;[3.785972452509894e-8, -5.688336935738338e-7]
8378;+1.621813794372429e-12;[6.866004248595142e-9, -9.015251901929819e-8]
8688;+1.598721155460225e-13;[-2.477530581704726e-10, -2.8415267888485333e-8]
10450;+7.638334409421077e-14;[-1.952283210102404e-8, 3.0992777187326078e-9]
11966;+2.842170943040401e-14;[-1.0489444919402401e-8, 6.407433353445906e-9]
12450;+1.065814103640150e-14;[-5.631679811789449e-9, 3.836387716647164e-9]
14432;+1.776356839400250e-15;[-1.9241716527572284e-9, -5.904115064788403e-10]
16415;+0.000000000000000e0;[-3.9091889268252103e-10, -1.703706551985579e-10]
