x0,x1,x2,x3,x4,x5,f(x0),f(x1),f(x2),f(x3),f(x4),f(x5),x-best,Step,XVal,x-plus,x-minus
-5.8303604,-2.383255,40.740234,58.680847,60.24292,88.85762,17.672905,3.1430235,887.3214,4247.957,2874.968,8827.781,0.96,1,-2.2222824,50.45574,68.77557
-53.932457,-44.544437,-5.5896683,1.2420425,44.402,46.852005,2132.0964,1511.2468,22.800083,3.3952377,1357.54,1302.7136,0.92,2,-20.002739,25.253191,34.389
-44.238205,-38.938663,-36.18419,-34.7213,-12.364632,3.5459633,1059.6606,2075.0227,1923.6759,600.11255,70.21564,11.7792635,0.88,3,-10.099258,16.8953,17.19503
-26.91541,-21.604168,-15.639561,-12.351951,-7.958454,6.630966,1027.7075,278.24194,107.801025,70.84112,86.35826,33.723038,0.84,4,-8.969765,16.311733,8.597567
-16.499527,-14.922585,-11.166764,-8.573534,-5.675194,-5.420491,257.41333,207.75662,172.25937,69.758,20.937885,26.223286,0.8,5,-6.1935167,9.335486,4.2988157
-10.008162,-6.020615,-5.5249023,-0.4997406,0.46776295,0.6957159,70.46672,14.54542,24.172369,-0.31752217,0.621647,1.1365609,0.76,6,-6.309178,8.370634,2.1494231
-6.479353,-5.4034157,-2.2828217,-1.213542,0.6467228,1.3511858,16.10659,26.532509,3.3094482,0.8153863,1.0077128,4.0030956,0.72,7,-0.0061473846,4.35234,1.0747317
-0.80656785,-0.20260012,0.8204576,2.1451774,3.0100594,3.6608949,-0.14224833,-0.1804148,1.5171893,7.689449,7.6961412,13.662764,0.68,8,-0.80333495,2.687422,0.69852686
-1.2102997,-0.6733788,0.6498661,0.89498615,1.7617574,1.7641206,0.8046777,-0.27030987,1.0156517,1.7830653,6.305627,6.317431,0.64,9,-1.2042476,1.3455781,0.3588841
-1.4977012,-1.3826126,-1.2625468,-0.4538921,-0.27317476,-0.21675074,1.8549986,1.4179126,0.981766,-0.31127545,-0.23043089,-0.19108744,0.6,10,-0.4835106,0.6851216,0.17944357
-0.38042018,-0.29687613,-0.24277186,-0.20602629,0.07578313,0.17449534,-0.28810772,-0.24526611,-0.20989677,-0.1830265,0.07868763,0.19063744,0.56,11,-0.37881956,0.43992558,0.10785324
-0.40648928,-0.40490013,-0.15213412,-0.09917405,-0.0018745959,0.015512437,-0.2980414,-0.29748747,-0.14003016,-0.09415989,-0.0018728463,0.015632804,0.52,12,-0.40533072,0.22112344,0.09983876
-0.50040954,-0.4080327,-0.38479003,-0.32519555,-0.29171667,-0.24989551,-0.31756198,-0.29857278,-0.28989643,-0.26152468,-0.2421287,-0.21485241,0.48,13,-0.5002235,0.110781655,0.09096277
-0.5617759,-0.55652165,-0.5391403,-0.53814894,-0.53651726,-0.5091924,-0.3144278,-0.31524232,-0.31718937,-0.31726635,-0.31738514,-0.3179422,0.44,14,-0.52609503,0.056187604,0.04548203
-0.56336915,-0.54204494,-0.5393698,-0.5355099,-0.529798,-0.4958215,-0.31415978,-0.31694287,-0.31717104,-0.31745356,-0.3177713,-0.3172583,0.4,15,-0.55366284,0.06730374,0.022741793
-0.57001853,-0.556881,-0.5291589,-0.5172997,-0.5113779,-0.49262676,-0.31293458,-0.31519,-0.31779945,-0.3180549,-0.31799525,-0.31700474,0.36,16,-0.5241271,0.044976678,0.011371293
-0.5204677,-0.5138107,-0.50842315,-0.50057465,-0.4999676,-0.499731,-0.31803593,-0.3180347,-0.31791955,-0.31757158,-0.31753585,-0.31752157,0.32,17,-0.520454,0.024753451,0.012900287
-0.5252365,-0.5242708,-0.5241461,-0.52122486,-0.51143557,-0.5085982,-0.31793982,-0.31796587,-0.317969,-0.31802613,-0.31799644,-0.31792486,0.28,18,-0.5240951,0.012429289,0.006450899
-0.52877253,-0.5277747,-0.52202815,-0.5197056,-0.51894695,-0.5119036,-0.31781575,-0.31785533,-0.31801343,-0.31804374,-0.3180495,-0.31800553,0.24,19,-0.513171,0.012105938,0.0032255463
-0.51600194,-0.51478267,-0.5146296,-0.50910825,-0.503657,-0.5033717,-0.3180524,-0.31804463,-0.3180433,-0.31793982,-0.31773353,-0.31771994,0.2,20,-0.51598,0.010963752,0.0022738338
-0.5169463,-0.51654255,-0.51506066,-0.51278156,-0.50983745,-0.5078901,-0.31805483,-0.3180542,-0.31804687,-0.31802055,-0.3179596,-0.31790262,0.16,21,-0.5168977,0.0056392783,0.0017508036
-0.5182708,-0.51761234,-0.5163332,-0.5152535,-0.513699,-0.51167685,-0.3180529,-0.31805462,-0.3180536,-0.31804827,-0.31803334,-0.31800124,0.12,22,-0.5182397,0.0029498306,0.0012757052
-0.51897997,-0.51846695,-0.5169818,-0.51676255,-0.51615536,-0.51532936,-0.31804928,-0.31805205,-0.31805485,-0.31805462,-0.318053,-0.31804878,0.08,23,-0.5177793,0.0014958218,0.00063838274
-0.5183843,-0.5183359,-0.5179948,-0.51792526,-0.5167965,-0.5167365,-0.3180524,-0.31805265,-0.3180538,-0.318054,-0.31805468,-0.31805456,0.04,24,-0.51690245,0.0015168419,0.00031919798
-0.5171696,-0.5168715,-0.51665986,-0.51593745,-0.5157329,-0.51573104,-0.3180549,-0.31805474,-0.31805444,-0.3180521,-0.31805116,-0.31805113,0,25,-0.5171661,0.0014618231,0.00026170534
