x0,x1,x2,x3,x4,x5,f(x0),f(x1),f(x2),f(x3),f(x4),f(x5),x-best,Step,XVal,x-plus,x-minus
-87.36515,-59.01568,-29.5336,-28.893234,85.1335,85.27301,17705.865,-2.7617288,1588.0519,1812.7742,3361473.5,3375360.3,0.96,1,-64.53908,50.099617,61.96575
-122.794716,-122.597496,-89.292366,-63.15568,-42.980423,-20.21885,270999.25,268038.28,21812.309,144.52615,-12.52796,7657.7705,0.92,2,-25.518875,25.215929,30.983086
-44.716644,-44.407963,-23.005775,-21.480877,-20.63361,-1.9893875,-16.648794,-16.682615,5104.045,6406.6724,7228.3447,53283.316,0.88,3,-44.661453,24.788885,16.72192
-53.781723,-49.118027,-40.252438,-29.777088,-28.916435,-27.717503,-12.075571,-6.0352144,29.92811,1508.1488,1804.2527,2284.1396,0.84,4,-53.756214,12.42151,15.414996
-62.18135,-59.29927,-57.22486,-52.399605,-43.430653,-43.070377,89.276665,1.3538709,-16.63182,-7.878977,-14.7511215,-13.051388,0.8,5,-54.76552,6.3741856,7.7075763
-62.293068,-61.294987,-60.36952,-59.7389,-54.21661,-53.69151,94.82613,51.678562,23.175404,9.040178,-13.496382,-11.779207,0.76,6,-54.783375,4.0078435,3.8538208
-58.62658,-54.91751,-53.410416,-52.252583,-51.29934,-51.12693,-7.4350686,-15.612455,-10.863551,-7.5099077,-5.689558,-5.479799,0.72,7,-58.55675,2.0670495,1.9317611
-60.267162,-59.718025,-58.49033,-58.119354,-57.663235,-57.421955,20.612146,8.637159,-8.824932,-12.016006,-14.864082,-15.945053,0.68,8,-58.42073,1.0573105,0.96588784
-59.30575,-59.159813,-58.948288,-58.26602,-57.850555,-57.66979,1.4553003,-0.7484627,-3.6491394,-10.854336,-13.828146,-14.830824,0.64,9,-57.938572,0.77937627,0.48294595
-58.272224,-58.005783,-57.836357,-57.587933,-57.279808,-57.20457,-10.802393,-12.830311,-13.91301,-15.231121,-16.457275,-16.69308,0.6,10,-57.308514,0.7215843,0.24147427
-57.31013,-57.310043,-57.30853,-57.06648,-56.96606,-56.60705,-16.355415,-16.355717,-16.360897,-17.065151,-17.288376,-17.786274,0.56,11,-56.72003,0.49185765,0.12073788
-56.83981,-56.71429,-56.558075,-56.402485,-56.3147,-56.269623,-17.515226,-17.68423,-17.820433,-17.879642,-17.881468,-17.873962,0.52,12,-56.295033,0.61430424,0.06036914
-56.27224,-56.044193,-56.00144,-55.74764,-55.687473,-55.68205,-17.874552,-17.75563,-17.718813,-17.414808,-17.32276,-17.314108,0.48,13,-56.27158,0.31612307,0.05791421
-56.308117,-56.28214,-56.20894,-56.197475,-56.119328,-56.076447,-17.880722,-17.876612,-17.855114,-17.850445,-17.809523,-17.780476,0.44,14,-56.30788,0.15873435,0.03757593
-56.275944,-56.243908,-56.16848,-56.165607,-56.157104,-56.15648,-17.875355,-17.867188,-17.837105,-17.835663,-17.831272,-17.83094,0.4,15,-56.27574,0.07947087,0.04262325
-56.29217,-56.259777,-56.254852,-56.229546,-56.2264,-56.20143,-17.87842,-17.871582,-17.870293,-17.862621,-17.861551,-17.852097,0.36,16,-56.292126,0.03982268,0.035929795
-56.325855,-56.323277,-56.30961,-56.287766,-56.266964,-56.254967,-17.882452,-17.882254,-17.880901,-17.877659,-17.873346,-17.870323,0.32,17,-56.32576,0.020161085,0.024965573
-56.347584,-56.326946,-56.32581,-56.321552,-56.320972,-56.31616,-17.88336,-17.88253,-17.882448,-17.882113,-17.882063,-17.881615,0.28,18,-56.347374,0.010087147,0.03037918
-56.369045,-56.359543,-56.355625,-56.354874,-56.34605,-56.34478,-17.882942,-17.88329,-17.883358,-17.883366,-17.883343,-17.88332,0.24,19,-56.363934,0.0052436125,0.015190321
-56.376915,-56.37418,-56.373882,-56.371304,-56.369236,-56.36821,-17.882458,-17.882645,-17.882664,-17.88282,-17.882933,-17.882982,0.2,20,-56.371338,0.003257576,0.007595529
-56.378784,-56.375774,-56.37314,-56.372097,-56.37043,-56.36866,-17.882315,-17.882538,-17.88271,-17.882774,-17.88287,-17.882961,0.16,21,-56.37099,0.0026860302,0.00379783
-56.37401,-56.372917,-56.372246,-56.370583,-56.37046,-56.369694,-17.882656,-17.882725,-17.882765,-17.882862,-17.882868,-17.88291,0.12,22,-56.37101,0.0023373736,0.001898937
-56.371983,-56.37097,-56.37046,-56.370205,-56.37015,-56.369827,-17.882782,-17.88284,-17.882868,-17.882881,-17.882885,-17.882902,0.08,23,-56.370735,0.0020131906,0.0009494974
-56.371506,-56.371204,-56.369953,-56.36942,-56.36942,-56.369064,-17.882809,-17.882826,-17.882896,-17.882923,-17.882923,-17.882942,0.04,24,-56.369587,0.0014325612,0.0004747535
-56.370014,-56.369762,-56.369675,-56.36951,-56.368816,-56.368317,-17.882893,-17.882904,-17.88291,-17.88292,-17.882954,-17.882978,0,25,-56.368816,0.001634356,0.00023738298
