n_eval;f_min;min_point
7;+2.731525316008108e0;[1.1108058868488015, 0.11429214677099298]
84;+2.681541647514265e-1;[-0.03377484511629503, -0.5489602344369064]
183;+1.165934194146147e-1;[-0.6022320825755549, 0.6489202046047049]
237;-1.784663678439851e-1;[-0.21098944638069583, -0.09117189743044074]
264;-2.660132562328965e-1;[-0.3816341654009011, -0.15032052908450827]
289;-2.812166574776682e-1;[-0.4740131565423332, -0.18340393144450207]
316;-3.014155476580199e-1;[-0.48775509514588644, -0.12303099669200858]
476;-3.104678579592675e-1;[-0.4846962647506679, 0.07589353446795119]
507;-3.118857658987216e-1;[-0.507703283338705, 0.07752886623222591]
538;-3.133886626907673e-1;[-0.48588211656148755, 0.05448391091361551]
569;-3.143048125798618e-1;[-0.5005604487357216, 0.05714844692793361]
602;-3.173813739366346e-1;[-0.5179909756529724, -0.02593138543454309]
695;-3.178788970494655e-1;[-0.5077233059830276, -0.0042731092732355026]
719;-3.179591227774993e-1;[-0.5227747121720892, 0.006362804176684989]
748;-3.179815071115228e-1;[-0.5211741518740248, 0.006732067312340048]
781;-3.179920268468339e-1;[-0.5125123562466909, 0.004920445295907917]
812;-3.180268730111245e-1;[-0.5186986520412251, -0.00490446434731402]
1658;-3.180314267441456e-1;[-0.5206609338047767, -0.0014802717156963932]
2453;-3.180345900239916e-1;[-0.5199060463992515, 0.0027034743957512703]
2460;-3.180376412646433e-1;[-0.520308248957375, -0.0003134571355062304]
2493;-3.180383728591003e-1;[-0.5200357822993378, -0.0014990872225461027]
2526;-3.180446749780538e-1;[-0.5171443022169442, -0.0032019764539273805]
2864;-3.180527633188868e-1;[-0.5161723837604217, -0.0005639720593696787]
3106;-3.180537066366247e-1;[-0.5167237301066459, 0.0009122131508150963]
3144;-3.180537497066667e-1;[-0.5173541426950627, -0.0010666857562296084]
3180;-3.180546783357437e-1;[-0.5170697379884294, -0.00047540059871915727]
3204;-3.180548342185378e-1;[-0.5172529703818718, 0.0003034938452599887]
3335;-3.180548807957482e-1;[-0.5170771925964366, -0.0001635835793034407]
3359;-3.180549177738187e-1;[-0.517109117845406, -3.6333913632233866e-5]
4195;-3.180549286658514e-1;[-0.5171617956269352, -3.9735906760786775e-5]
4842;-3.180549311019952e-1;[-0.5171803954392216, 2.7078857401521154e-5]
4851;-3.180549319529168e-1;[-0.517184088321768, -7.238002911383675e-6]
4944;-3.180549319828394e-1;[-0.5171867020545875, 1.0660216327430703e-5]
5001;-3.180549321484450e-1;[-0.5171928464619582, 8.191692605927802e-6]
5030;-3.180549322008391e-1;[-0.517192551628016, -3.4712299259781404e-6]
5039;-3.180549322033507e-1;[-0.5171942372943815, 4.538449533572824e-6]
5725;-3.180549322179980e-1;[-0.5171935472358034, 1.6244853620024879e-6]
6342;-3.180549322206535e-1;[-0.5171968784520188, 6.267335699037279e-7]
6466;-3.180549322234664e-1;[-0.5171947070027416, 1.3309076224007664e-6]
7143;-3.180549322248579e-1;[-0.5171953819077668, -9.3011702488579e-7]
7194;-3.180549322257047e-1;[-0.517195415825842, 1.3188787625174008e-8]
8016;-3.180549322257120e-1;[-0.5171952947821872, 1.9773305283408273e-7]
8765;-3.180549322257524e-1;[-0.5171952270938369, 4.2489400054685e-8]
9581;-3.180549322257533e-1;[-0.5171952339507628, 3.670443593920064e-8]
10391;-3.180549322257546e-1;[-0.5171952550616572, 1.591231905728011e-8]
10429;-3.180549322257550e-1;[-0.5171952522659277, 5.2203538876716605e-9]
11202;-3.180549322257550e-1;[-0.51719524842973, -3.6669063936877725e-9]
