n_eval;f_min;min_point
7;+3.853838205304982e0;[0.02413015139040231, -0.5805065143400121]
14;+2.915930817536641e-1;[-0.04526851970365797, -0.02945772777149891]
359;+7.419242825238470e-2;[-0.0036502324158440985, 0.016304214660307764]
386;+1.777982798097710e-2;[-0.0029680130975341806, 0.003141167173564302]
422;+8.823118313102896e-3;[-0.002117213595651625, 0.0004960074262260264]
542;+2.783653456152280e-3;[0.00053645678944385, 0.0004382995919078349]
659;+2.394002999043465e-3;[-0.000367922770938123, 0.0004690743713363172]
690;+1.026496779317654e-3;[0.00021070330109808642, -0.00014573165631551937]
747;+8.008673471842087e-4;[0.00016308754126208953, -0.00011568719637382189]
789;+7.166547728374439e-4;[-0.00016278082370651823, -7.433882316234655e-5]
822;+5.128810719909893e-4;[-0.00011013049600977621, -6.54516185247969e-5]
855;+3.457337911534353e-4;[3.759216277355351e-5, 7.777563673409447e-5]
1437;+3.169861075846825e-4;[7.751218980581089e-5, 1.628817855794159e-5]
2213;+2.461126518333856e-4;[6.0184793342696785e-5, 1.266612243440424e-5]
2255;+1.154317670604144e-4;[-5.487690907841637e-6, 2.8325759212170532e-5]
2607;+2.580540748908788e-5;[3.732748067245082e-6, 5.2614622636868585e-6]
3041;+4.236981698824138e-6;[-4.306470890584679e-7, 9.677438972053212e-7]
3631;+2.059079680094555e-6;[4.0152698609409747e-7, 3.221216353512134e-7]
3790;+4.970547564653316e-7;[-1.1722924954627656e-7, 4.1215800509281795e-8]
3819;+4.719291375465673e-7;[1.0082325464496416e-7, -6.127372283805685e-8]
4581;+2.615815830608881e-7;[2.596520745152742e-8, -6.001968060168052e-8]
5396;+1.684174115723636e-7;[1.5064928860234392e-8, -3.931696141616391e-8]
5651;+5.065168551254828e-8;[-1.1004768806183e-8, 6.264553229623753e-9]
6373;+3.059876263478145e-8;[7.428777603140972e-9, 1.8251106627068718e-9]
6404;+2.941592924798897e-8;[-2.3749133316958375e-9, -6.959945791471493e-9]
7165;+1.115111558647186e-9;[1.7094046871269527e-10, 2.2021913337654582e-10]
7969;+3.103792778347270e-10;[7.115512667031391e-11, -3.095104583836801e-11]
8742;+1.299085283790191e-10;[1.6337406888749637e-11, 2.8068059851493555e-11]
8800;+1.014512918118271e-10;[1.4668539640643594e-11, 2.0690720246264655e-11]
8829;+2.320987846360367e-11;[-3.050475666558605e-12, 4.93581815697508e-12]
9646;+1.214317535414011e-11;[-2.6274427355346325e-13, 3.024492295639716e-12]
10382;+2.312816604899126e-12;[-4.884797600202392e-13, 3.0826015622342483e-13]
11210;+5.719869022868806e-13;[-1.2512960132501335e-13, 6.894377895449491e-14]
12014;+3.517186542012496e-13;[-7.599365432649615e-14, 4.4114935858292834e-14]
12641;+2.167155344068306e-13;[-4.368592120842365e-14, 3.1824168361187896e-14]
12834;+1.421085471520200e-14;[-3.2771950112466256e-15, 6.593831580738899e-16]
13465;+7.105427357601002e-15;[-1.809068819658033e-15, -1.379414440167599e-15]
13678;+0.000000000000000e0;[1.2002975618416122e-17, -5.0722072381458055e-18]
