n_eval;f_min;min_point
7;+1.514269193568613e7;[3.024675840008506, -80.97033729639489]
21;+1.006461707085409e7;[2.677489522382764, 2.8268538671442407]
30;+1.330665181050048e6;[21.709161290309034, 138.2756721155596]
73;+5.999895415368494e4;[13.476147898333105, 87.04377223013813]
204;+2.476347404265363e4;[21.849823113390446, 7.685660548321138]
225;+4.310459246545587e3;[21.460790083612945, 15.568660590743153]
250;+1.777601004558053e2;[22.883477194725227, 26.99454447099824]
321;+1.077324144005295e2;[16.566960378972478, 32.724273554746]
403;+9.302826416391561e1;[12.928230989258521, 69.48195094615552]
425;+4.953623761523485e1;[17.55348229092629, 26.59910803499145]
482;+2.359667956720088e1;[17.638285282936522, 25.2270462411228]
744;+1.871819606327233e1;[17.34462542374604, 27.28245382502704]
955;+6.453571019847524e0;[18.617407966476968, 21.823422985465193]
1187;+1.684929451678467e0;[20.672677673878137, 20.578105345940223]
1245;+1.119949725112895e-2;[20.93619034739999, 20.868009721549164]
1270;+4.316274298069171e-3;[20.941375938933277, 20.883223032394202]
1727;+4.189266184785241e-3;[21.059957421707384, 21.125947714025635]
1758;+3.141366190828436e-3;[21.0549533584727, 21.11402883436661]
1789;+2.475554824634668e-3;[21.049377850334054, 21.101805286878708]
1820;+1.941175047762629e-3;[21.044033436863945, 21.090155198872193]
1851;+1.652568420144995e-3;[21.03914345030673, 21.07872202910494]
2087;+8.987338328564554e-4;[21.004853418345697, 21.012688733388057]
2156;+6.826340589006375e-6;[21.002253027429763, 21.004378835565532]
2179;+6.013358142034046e-6;[21.002086269450345, 21.00404801792004]
2202;+8.921761329134253e-7;[21.000857092075204, 21.0016752237566]
2478;+6.821316430238135e-7;[21.00082490592264, 21.001654568909004]
2507;+5.339166361442203e-7;[21.000719555140094, 21.00145233907299]
2536;+5.284827047155321e-7;[21.000642888955348, 21.001252253554078]
2563;+5.108587154077491e-7;[21.000632999758803, 21.0012332083367]
2592;+4.803186615466263e-7;[21.000603837558163, 21.001174025200275]
3256;+1.067869796987613e-7;[20.999705503718324, 20.9994252571163]
3776;+9.053502824780162e-8;[20.999725390131843, 20.999438557524584]
3807;+8.958732674899816e-8;[20.999754010034586, 20.999491028816788]
3836;+5.972466300055216e-8;[20.999774144342496, 20.999539004876556]
3845;+2.186990493419585e-8;[20.999893577919863, 20.999797435683192]
3894;+2.009215482864511e-8;[20.99987963110562, 20.999766762342233]
3925;+1.487918858066943e-8;[20.999893649641606, 20.999781336658685]
3956;+1.377137843447683e-8;[20.999895591398698, 20.999785836252883]
3965;+3.718421544495608e-9;[21.000025199943504, 21.000044847698987]
4018;+3.611915235201290e-9;[20.999950592961014, 20.99989776658031]
4045;+3.464120639016949e-9;[20.99994575856531, 20.999889235368393]
4754;+1.548397294656810e-9;[20.999960762149822, 20.999921822291746]
5047;+1.469789456752107e-9;[20.999961664057857, 20.999923367663794]
5311;+9.926483543054523e-10;[20.99997177991014, 20.999942159635275]
5342;+9.507747055410183e-10;[20.99997173380794, 20.99994223635523]
5373;+8.907408400929285e-10;[20.999971099733948, 20.99994145521613]
5402;+8.786925953803256e-10;[20.99997047081289, 20.999940683273834]
5958;+1.800118331694696e-10;[20.999994165639315, 20.99998953950168]
6534;+3.067000650469833e-12;[20.99999843293997, 20.99999694406958]
6687;+8.361222896290507e-13;[20.999999104618922, 20.99999822778993]
6743;+7.370883691191141e-13;[20.999999174878788, 20.99999832603836]
7335;+7.013459420350187e-13;[21.000000834987965, 21.000001663541536]
7364;+6.705360716983420e-13;[21.00000077394349, 21.000001521139207]
7424;+5.983835885534520e-13;[21.0000006632454, 21.00000128668055]
7486;+4.354980988199545e-13;[21.000000558368605, 21.000001081563298]
7513;+3.590165928615314e-13;[21.00000051692567, 21.00000100355236]
8237;+2.886331272836340e-13;[21.000000490238104, 21.00000095849925]
8257;+2.882360159663755e-13;[20.999999475355047, 20.999998962104968]
8279;+1.567743746802914e-13;[21.000000254139923, 21.00000053864227]
8293;+1.508961322344151e-13;[21.000000255203236, 21.00000048112046]
8821;+7.269146373905355e-14;[21.000000265585754, 21.00000052652866]
8850;+3.237786123044754e-14;[21.000000059898092, 21.000000102828547]
8879;+5.621333141831903e-15;[20.99999994342113, 20.999999881922747]
9446;+3.622876767869933e-15;[20.999999953804412, 20.999999903750272]
9455;+6.160640204901036e-16;[21.000000008019153, 21.000000018387258]
9575;+1.016705835056579e-16;[20.999999990090593, 20.999999979994794]
10093;+6.363942051611036e-17;[21.000000005253547, 21.000000011107424]
10176;+5.198285678098995e-18;[21.000000002162572, 21.000000004397364]
10794;+2.413707155224887e-18;[20.99999999994221, 20.99999999972917]
11166;+7.454700440057077e-19;[21.000000000731553, 21.000000001508965]
11189;+3.339225786567600e-19;[21.000000000575444, 21.000000001156167]
11218;+2.094199919506244e-19;[21.000000000412882, 21.00000000080603]
11369;+2.025872003924138e-19;[21.00000000034779, 21.00000000072415]
11524;+1.529016392727644e-19;[21.000000000377813, 21.000000000745548]
12046;+2.138690322011355e-20;[21.00000000013309, 21.000000000272244]
12195;+1.190830456064327e-20;[21.00000000010812, 21.00000000021476]
12286;+9.221229583211213e-21;[21.000000000096016, 21.00000000019218]
12842;+8.768978276820649e-21;[20.999999999915467, 20.999999999834962]
12869;+5.445307354216707e-21;[20.99999999992633, 20.999999999853088]
12898;+5.008488792461358e-21;[20.999999999937266, 20.999999999871257]
12925;+3.866515217298479e-21;[20.999999999937955, 20.9999999998755]
12954;+3.564714755932295e-21;[20.99999999994717, 20.99999999989156]
12983;+3.197188070017328e-21;[20.99999999994815, 20.999999999894047]
13012;+2.642440432242857e-21;[20.99999999994916, 20.99999999989756]
13730;+7.697293748169449e-22;[21.000000000022872, 21.000000000047315]
13761;+5.616919866340184e-22;[21.00000000002356, 21.00000000004738]
14378;+1.558235810123361e-22;[21.00000000001245, 21.000000000024805]
14698;+1.133756446564411e-22;[21.000000000006082, 21.00000000001129]
15223;+6.624145800497531e-23;[21.000000000008054, 21.000000000016225]
15252;+5.917234290465774e-23;[21.000000000007653, 21.000000000015227]
15281;+5.180386455713967e-23;[21.00000000000716, 21.000000000014392]
15310;+4.748316609416108e-23;[21.000000000006757, 21.00000000001338]
15341;+4.014840050628853e-23;[21.000000000006317, 21.000000000012683]
15374;+3.915698536415573e-23;[21.000000000005883, 21.000000000011553]
15401;+3.686093312430669e-23;[21.00000000000575, 21.0000000000113]
16013;+1.244506964076668e-23;[20.999999999998366, 20.999999999997044]
16042;+1.499921192525507e-24;[20.999999999998956, 20.999999999997847]
16162;+9.663735415574648e-25;[20.999999999999083, 20.99999999999813]
16193;+9.614762930578527e-25;[20.99999999999902, 20.99999999999804]
16657;+5.270853024324712e-26;[20.999999999999915, 20.999999999999808]
16702;+2.731351998237231e-26;[20.99999999999985, 20.999999999999694]
16760;+2.443575540012606e-26;[20.999999999999844, 20.999999999999687]
17219;+2.145701662201152e-26;[20.999999999999858, 20.999999999999712]
17274;+5.099196891348620e-27;[21.000000000000007, 21.00000000000002]
17303;+2.019483917365790e-28;[21.000000000000014, 21.00000000000003]
17443;+1.262177448353619e-29;[20.999999999999996, 20.999999999999993]
17765;+0.000000000000000e0;[21.0, 21.0]
