n_eval;f_min;min_point
7;+1.798393999064624e2;[-1.5028675690133397, -3.208579350189698]
14;+1.681912016631814e2;[-0.16839055364641653, 2.825805371667382]
21;+1.148539532385413e1;[0.10500939563819855, -0.012850061899626564]
251;+7.739460508356641e0;[-35.1950341678763, 12.392510581629413]
278;+3.685926466744702e0;[-35.44672035011867, 12.565877327062697]
588;+1.703817485170612e0;[-3.8662075394328053, 0.14974538129035803]
1152;+7.647150212985152e-1;[4.566393977738906, 0.20855786202345478]
1858;+2.811226373592444e-1;[0.16487743995065168, 0.00026862461529823843]
2643;+2.683469234272629e-1;[-6.756959558368855, 0.4565705903947166]
3278;+4.843455247881930e-2;[-6.462316064914624, 0.41761530627892357]
4065;+4.715873749902542e-2;[-6.809117793566859, 0.4636408745226802]
4267;+3.658034439520241e-2;[-6.810443239296658, 0.46382136896210224]
4809;+3.618790890023042e-2;[-6.808608352336746, 0.4635714751283959]
5377;+3.527618888131651e-2;[-6.808671772547714, 0.4635801141937944]
5558;+3.235252610100411e-2;[-6.788815763726538, 0.46088019474401215]
6302;+3.218979291721050e-2;[-6.813336737382144, 0.4642155749591684]
7043;+3.215663474612215e-2;[-6.8013298935006725, 0.4625808831993709]
7700;+3.203808509666128e-2;[-6.801329150541639, 0.4625807821398105]
8077;+3.202910067733238e-2;[-6.810547256658218, 0.4638355393535588]
8360;+3.196694768979669e-2;[-6.810547256681932, 0.4638355393544535]
8426;+3.191623664029124e-2;[-6.810547256683277, 0.46383553935520827]
9216;+3.191310735062437e-2;[-6.810547434361105, 0.46383556355686084]
9918;+3.191130270785733e-2;[-6.810547351152436, 0.46383555222286643]
10015;+3.191027878500975e-2;[-6.810547351152135, 0.4638355522228288]
10730;+3.190604341924093e-2;[-6.810547489884128, 0.4638355711196832]
10759;+3.190048556564241e-2;[-6.810547489883513, 0.4638355711195826]
11449;+3.189974039772756e-2;[-6.8105475008690295, 0.46383557261593655]
11513;+3.189741058876728e-2;[-6.810547500868987, 0.4638355726159272]
12287;+3.189688254014983e-2;[-6.810547354030787, 0.46383555261495807]
12929;+3.189601533041169e-2;[-6.810547478570769, 0.46383556957866645]
12956;+3.189527028107369e-2;[-6.8105474776986, 0.46383556945986776]
13050;+3.189452477493057e-2;[-6.810547522506943, 0.46383557556325467]
13673;+3.189452433749894e-2;[-6.810547566250106, 0.46383558152155246]
13706;+3.189452433749893e-2;[-6.810547566250107, 0.4638355815215525]
14448;+3.189452427717042e-2;[-6.8105475722829585, 0.46383558234329303]
15164;+3.189452299877382e-2;[-6.810547700122618, 0.46383559975645483]
15859;+3.189452292774962e-2;[-6.810547707225038, 0.4638356007238823]
