n_eval;f_min;min_point
7;+6.394510005898633e4;[0.23452213345460415, -2.5018012497122726]
14;+4.948927989811799e4;[-2.8624539697309395, 1.9110830685810072]
30;+2.484337494984181e3;[-43.09758778428318, -49.975385094608754]
71;+1.834310454073446e3;[-32.12432645666267, -30.9153914872824]
89;+6.695426277298855e2;[-33.188354146530166, -1.626085158118939]
112;+1.971076949380668e2;[-37.01025559119659, 2.2082507629024652]
137;+1.334188752789889e1;[-41.04026806701748, -1.4224956979880619]
164;+3.203981725926937e0;[-46.30357093642539, -4.094498896957857]
182;+1.620839635586373e0;[-41.62513382790233, 0.6283318108757301]
207;-1.574830555398852e1;[-43.89450190814191, 0.5959028613882562]
291;-1.600451525422394e1;[-44.214589075292565, 0.748807549956982]
364;-1.605343465194528e1;[-44.73638461394478, 0.7646813593677433]
391;-1.615257304594319e1;[-44.72039699364596, 0.7030469386106026]
416;-1.647387222197335e1;[-44.573264444663586, 0.4716428809843737]
447;-1.663172749513442e1;[-44.73469054169005, -0.08598714904665275]
484;-1.770228006561823e1;[-56.08963877200499, -0.29600576367255405]
515;-1.781573059461100e1;[-56.17903054840389, 0.1627347290464281]
545;-1.781751049207420e1;[-56.23175298712621, 0.21412797994936872]
578;-1.786168344003854e1;[-56.25698282519126, -0.09578168637842269]
611;-1.788222879974958e1;[-56.37935565789331, 0.006425122969903366]
642;-1.788242507276237e1;[-56.35862477018514, 0.02974964512174149]
706;-1.788274189588199e1;[-56.36895595685037, 0.014296559404047556]
1000;-1.788334185726981e1;[-56.35204492977583, 0.006381355861121528]
1025;-1.788338007362240e1;[-56.35291785551451, -5.003497147827026e-5]
1127;-1.788338279302128e1;[-56.35171660867129, -0.00040621032948316927]
1352;-1.788338297277731e1;[-56.35132089674906, 0.0001836663333669733]
1385;-1.788338302484184e1;[-56.351521869233196, 0.00011324975067954987]
2230;-1.788338302837797e1;[-56.351549750834664, 6.721562275200499e-5]
2941;-1.788338303217689e1;[-56.35140185881717, -2.706549022966906e-5]
3038;-1.788338303858440e1;[-56.35147290168392, -4.582089052218064e-5]
3078;-1.788338303970951e1;[-56.351465648129754, 2.8984285243848858e-5]
3876;-1.788338304053121e1;[-56.35146508025976, -1.2394363371774353e-6]
4723;-1.788338304067948e1;[-56.35147508055704, 3.9420914841460665e-6]
5348;-1.788338304068686e1;[-56.35147804707954, 1.2185383832521287e-6]
5469;-1.788338304069037e1;[-56.351475803452814, 2.3106514132683832e-6]
5502;-1.788338304069092e1;[-56.351473978059694, 4.32200806723808e-7]
5535;-1.788338304069385e1;[-56.35147583617078, -1.3603633113828002e-6]
5566;-1.788338304069544e1;[-56.351475918113266, -4.862729443120268e-7]
6248;-1.788338304069547e1;[-56.351476168114445, -1.2339601244234251e-7]
6369;-1.788338304069556e1;[-56.35147556107303, 2.79773722408225e-7]
6409;-1.788338304069569e1;[-56.35147578912752, 1.2996436963109323e-7]
6863;-1.788338304069570e1;[-56.35147568761535, 4.111776984553461e-8]
7009;-1.788338304069570e1;[-56.3514757480485, -3.581601416007117e-8]
7852;-1.788338304069571e1;[-56.35147578060533, -2.3818143989657197e-8]
