n_eval;f_min;min_point
7;+1.321022941320217e0;[1.1982070341390134, -0.12281590718120317]
39;+3.606619032921223e-1;[-0.08088929224005525, -0.2797726110520671]
129;+2.077030001098017e-1;[0.152137331128527, -0.055565668981274685]
219;+1.721279065288301e-1;[-0.1688882761019913, 0.003239630426838818]
273;+1.326228630213951e-1;[0.07998546089944836, -0.05263740212194673]
309;+5.546944135908916e-2;[-0.032705397076841114, -0.02276404428224804]
316;+4.824055174843843e-2;[-0.03377494964992467, -0.01446560209851376]
343;+1.256897418442972e-2;[0.012271285379590158, 0.00029768880483956473]
388;+3.003878755982833e-3;[-0.00010511973391444385, -0.0028987590220683895]
499;+3.541846534968265e-4;[0.0001166953827966069, 0.00023748927070021963]
996;+5.420630241218319e-5;[1.961055630544939e-5, 3.45957461067338e-5]
1316;+2.144635646167035e-6;[4.0428676123689927e-7, -1.7403488849301353e-6]
2055;+2.027430292657792e-6;[6.394705980431063e-8, 1.9634832328534815e-6]
2163;+1.480918355612009e-6;[-1.0493484992939942e-6, -4.3156985631801444e-7]
2771;+6.916055560038622e-7;[8.545862061374366e-8, -6.061469353901185e-7]
3456;+7.976623604441670e-8;[4.241363236039824e-9, 7.552487280837687e-8]
3995;+2.427885526333829e-8;[1.7003170944968873e-8, -7.275684318369414e-9]
4865;+1.709174647263606e-8;[-1.4862197856642706e-8, -2.2295486159933543e-9]
5609;+1.601527068608513e-8;[4.26626817711459e-9, 1.1749002508970546e-8]
5653;+1.771990072376908e-9;[8.086978906820607e-10, 9.632921816948477e-10]
5684;+2.466520196901481e-10;[-8.71688574830839e-11, -1.5948316220706425e-10]
6482;+2.129012907234166e-10;[1.601253562993465e-10, 5.277593442407012e-11]
7101;+1.683149542958125e-10;[9.015810762799971e-11, 7.815684666781281e-11]
7645;+9.084108099652877e-11;[6.092256297192603e-12, -8.474882469933616e-11]
7709;+4.838642747656063e-11;[6.722293037398803e-12, 4.166413443916183e-11]
7835;+3.682448686797534e-11;[-3.1132752416141653e-11, -5.691734451833693e-12]
7919;+6.972148062152667e-12;[-3.878195619016594e-12, 3.0939524431360726e-12]
7948;+3.460067784821959e-12;[1.1418155239091296e-12, -2.3182522609128297e-12]
8525;+2.200533466754051e-12;[2.4421565442135737e-13, 1.9563178123326937e-12]
9360;+4.785037863884070e-13;[4.232206127319699e-14, -4.3618172511521e-13]
9387;+3.018207555267718e-13;[-1.777281294527496e-13, -1.2409262607402216e-13]
10237;+1.611067171721798e-13;[-1.4863278413139282e-14, 1.4624343875904054e-13]
10945;+4.650703674144153e-14;[3.6113860275610856e-14, 1.0393176465830673e-14]
11115;+9.767647323327106e-15;[-4.374882333695442e-15, -5.392764989631664e-15]
11943;+7.785475944291215e-15;[-2.063939425161036e-15, 5.72153651913018e-15]
12629;+5.695164250632438e-15;[1.5811656276598106e-15, -4.113998622972627e-15]
12757;+4.738419159028582e-15;[-7.247196374716832e-16, 4.013699521556899e-15]
12788;+1.814839511249372e-15;[-1.539801610573978e-16, 1.660859350191974e-15]
13583;+1.604532152981092e-15;[9.53943574925857e-16, -6.505885780552355e-16]
13616;+1.332587361583493e-15;[-3.275749223167732e-18, -1.329311612360325e-15]
13647;+5.789941876355475e-16;[4.671885334085541e-16, -1.1180565422699345e-16]
14387;+5.454099704383178e-16;[-2.776833990361916e-16, -2.6772657140212615e-16]
14433;+2.311386913424824e-16;[-1.0568181387796856e-16, -1.2545687746451382e-16]
14449;+3.513048340855798e-17;[1.456579720297447e-17, -2.056468620558351e-17]
14462;+1.662594774014169e-17;[-1.401984351258438e-17, -2.606104227557305e-18]
15271;+6.464453059414891e-18;[-1.8935373934823023e-18, 4.570915665932588e-18]
