n_eval;f_min;min_point
7;+2.038956961971374e1;[0.4948583993443876, 0.027522059658287024]
93;+1.453171436032816e1;[1.971003413646347, 1.2334183805293613]
174;+1.103766543801513e1;[0.02128787870494775, -0.2639950039506598]
192;+2.334467194281231e-2;[-0.007642287823390603, 0.007699836090643952]
301;+1.691446886568038e-2;[-0.008531751940799914, 0.003533389338087556]
711;+4.058462655903483e-3;[-0.001963431458224504, 0.004074636741165724]
742;+1.505449251784086e-3;[0.0008638344388901542, -0.002615759467845034]
898;+5.677777068910927e-4;[0.0016701466950385456, 0.00026931845245978773]
931;+1.245406958005901e-6;[6.70205362926e-6, 7.894672734681503e-5]
1201;+1.100579259727397e-6;[1.7181164686604642e-5, -7.247277702922099e-5]
1394;+6.791365620983925e-7;[-5.677825332848363e-5, 1.41221046951219e-5]
1502;+8.356817460253296e-9;[3.574499699508795e-6, 5.417167010023472e-6]
1601;+3.711406293405162e-9;[9.085852368099849e-7, -4.228700424190243e-6]
1733;+2.299278989426057e-9;[-2.747155856074751e-7, -3.3932446803698064e-6]
1764;+1.554150586002834e-9;[-2.797680908398552e-6, 8.195189040243114e-8]
2531;+6.217248937900877e-14;[-1.769724792773626e-8, -6.29971276004548e-10]
3355;+2.664535259100376e-14;[-1.1082778545251608e-8, -3.413865039786613e-9]
4168;+1.776356839400250e-15;[-8.902739632971935e-10, 3.1509110444650154e-9]
4915;+0.000000000000000e0;[1.0705491733053782e-9, -1.3992811094048518e-9]
