n_eval;f_min;min_point
7;+2.635514534992138e1;[-0.8694107305096637, -0.5297948156700816]
14;+3.761421986628450e0;[4.574175574255069, 1.385366249600815]
21;+2.663718212732907e0;[2.055259464909799, 2.007902209777514]
118;+7.018465496383552e-2;[3.500678560615629, 2.645155692651212]
190;-3.505007244406744e-2;[2.7645918916462517, 1.7708839827164324]
323;-1.333661561897986e0;[2.9153073544825165, 3.0243234498178655]
339;-1.389187079783398e0;[2.920305636730294, 3.05188311828816]
346;-1.508159094642002e0;[3.3335668227623123, 3.2719102820360115]
362;-1.647871289922840e0;[3.1677316110565337, 3.2631324683213743]
387;-1.789665530254934e0;[3.1276963794568857, 3.138018478508173]
414;-1.792023234570051e0;[3.2396329590192474, 3.1312974664672577]
489;-1.805686809645637e0;[3.164806817587915, 3.1231476682956583]
522;-1.806553281719080e0;[3.1682201682099933, 3.124775788671791]
659;-1.807399892539437e0;[3.172061715460676, 3.1287409875759824]
690;-1.808177798192990e0;[3.1797284669472767, 3.1309847782078837]
785;-1.808324427289151e0;[3.184243299602979, 3.1314176357074084]
1080;-1.808350394343725e0;[3.185178143678193, 3.129372011900312]
1273;-1.808350751733437e0;[3.1846782426070535, 3.129863512147652]
1463;-1.808351054870826e0;[3.185117977113075, 3.129470803756699]
1483;-1.808351809251461e0;[3.185334072919042, 3.1297267384147105]
1514;-1.808351952310062e0;[3.1851039540190493, 3.129891267608838]
1547;-1.808352027024790e0;[3.185194376899551, 3.1298106330792117]
1580;-1.808352030797748e0;[3.185179085809416, 3.129818011057367]
2241;-1.808352035487428e0;[3.185161159368728, 3.1298081657147794]
3055;-1.808352035687579e0;[3.1851573334215937, 3.1298077504781894]
3064;-1.808352035740730e0;[3.1851580143504683, 3.129798790743247]
3095;-1.808352035831914e0;[3.1851568653983175, 3.129799842707448]
3937;-1.808352035896014e0;[3.1851532872667976, 3.1298023021091517]
4745;-1.808352035898176e0;[3.1851535871338887, 3.129803696228586]
4774;-1.808352035912179e0;[3.1851546453819237, 3.129803743214706]
5582;-1.808352035915236e0;[3.1851557830682413, 3.1298019695519823]
6320;-1.808352035918530e0;[3.185155711441306, 3.12980219899641]
6353;-1.808352035921278e0;[3.1851556744433793, 3.129802515580116]
6417;-1.808352035921538e0;[3.185155766940505, 3.1298026583525242]
7232;-1.808352035921702e0;[3.185155117260649, 3.1298030654666507]
7241;-1.808352035922375e0;[3.185155199884587, 3.1298028906704536]
7887;-1.808352035922496e0;[3.185155330920503, 3.129802924774445]
8022;-1.808352035922548e0;[3.1851554722175464, 3.1298028013205856]
8840;-1.808352035922571e0;[3.1851553841291054, 3.1298028803706996]
8864;-1.808352035922594e0;[3.185155361185736, 3.1298028317439597]
9454;-1.808352035922595e0;[3.185155367688559, 3.1298028258958652]
9582;-1.808352035922596e0;[3.1851553787268747, 3.1298028337070907]
9612;-1.808352035922597e0;[3.185155385729555, 3.1298028261955753]
